year,oa_care_vic,ya_care_vic,oa_care_vir,ya_care_vir,oa_loya_vic,ya_loya_vic,oa_loya_vir,ya_loya_vir,oa_auth_vic,ya_auth_vic,oa_auth_vir,ya_auth_vir,oa_sanc_vic,ya_sanc_vic,oa_sanc_vir,ya_sanc_vir,oa_fare_vic,ya_fare_vic,oa_fare_vir,ya_fare_vir,oa_care,oa_loya,oa_auth,oa_sanc,oa_fare,oa_virtue,oa_vice,ya_care,ya_loya,ya_auth,ya_sanc,ya_fare,ya_virtue,ya_vice,ya_diff,ya_sum
1950,0.4908189,0.30023992,-0.014116071,0.12274656,0.38635978,0.25552195,-0.032489784,0.30675903,0.03291788,-0.10179567,-0.14025724,0.014930524,0.11537191,0.0569227,0.09970752,0.2615624,0.11496862,0.01664484,-0.17956635,0.03210085,-0.50493497,-0.41884956,-0.17317513,-0.015664391,-0.29453498,-0.053344388,0.22808743,-0.17749336,0.051237077,0.1167262,0.2046397,0.01545601,0.1176016,0.15231559,-0.034713984,0.2699172
1951,0.5463116,0.43751907,-0.05934968,0.13233238,0.36547476,0.29496038,-0.023234995,0.22761706,0.05784431,0.05142282,-0.14983544,0.05192768,0.11469005,0.13845748,0.09366292,0.28368124,0.13240176,0.2351386,-0.1969503,0.037134044,-0.6056613,-0.38870975,-0.20767975,-0.021027133,-0.32935208,-0.067141496,0.2433445,-0.3051867,-0.067343324,0.0005048588,0.14522377,-0.19800454,0.1182429,0.25382888,-0.135586,0.37207177
1952,0.44213986,0.18530917,0.060572878,0.1539418,0.23938124,0.22158484,0.0025856048,0.27081695,0.11234968,-0.038957316,-0.21994868,-0.07596659,0.06238179,0.026250998,0.044719644,0.22964048,0.05318016,0.019320719,-0.1570993,0.0015624631,-0.381567,-0.23679563,-0.33229837,-0.017662145,-0.21027946,-0.053833973,0.18188655,-0.031367376,0.04923211,-0.037009273,0.20338948,-0.017758256,0.09709678,0.108814955,-0.011718176,0.20591173
1953,0.43204182,0.21592027,-0.004270468,0.17807278,0.3221594,0.17236052,0.012624934,0.27685526,0.079356894,0.009482883,-0.19068974,-0.031701393,0.038874507,0.019799683,0.15640464,0.3475817,0.23235153,0.12976025,-0.13293111,0.08485252,-0.4363123,-0.3095345,-0.27004665,0.11753014,-0.36528265,-0.03177235,0.22095683,-0.03784749,0.104494736,-0.041184276,0.32778203,-0.044907734,0.14471431,0.14491384,-0.00019952655,0.28962815
1954,0.48834443,0.29716435,-0.04967099,0.14977795,0.13271444,0.0672057,-0.056214496,0.21554622,-0.06508582,-0.095714465,-0.18168761,-0.07339683,0.08007439,0.047301814,0.033671156,0.24285255,0.032631114,0.034490038,-0.15453914,0.022034645,-0.5380154,-0.18892893,-0.11660179,-0.046403237,-0.18717025,-0.08168822,0.1337357,-0.1473864,0.14834052,0.022317633,0.19555074,-0.012455393,0.08343334,0.08052698,0.0029063597,0.16396031
1955,0.46376675,0.22851378,-0.040996093,0.12975973,0.34526038,0.19926497,-0.056493767,0.2698294,-0.07279526,-0.090297885,-0.18552619,-0.16029055,0.15802418,0.1491208,0.07643315,0.29205108,-0.03800707,-0.09159523,-0.18426678,-0.081814066,-0.5047628,-0.40175414,-0.112730935,-0.081591025,-0.14625971,-0.078169934,0.17124979,-0.09875405,0.07056442,-0.06999267,0.14293028,0.009781167,0.06550697,0.1233778,-0.057870828,0.18888476
1956,0.33185917,0.1903278,-0.051150456,0.06652523,0.40179706,0.22529627,0.011102198,0.2741717,-0.027541269,-0.091625474,-0.10242504,-0.08310413,0.13300188,0.042594388,0.10978313,0.24850646,-0.06763521,-0.014894433,-0.20504668,-0.07704212,-0.3830096,-0.39069486,-0.074883774,-0.023218751,-0.13741148,-0.04754737,0.15429632,-0.123802565,0.048875436,0.008521341,0.20591207,-0.062147684,0.073359884,0.12558259,-0.052222706,0.19894248
1957,0.3418076,0.28258437,-0.058072075,0.11952099,0.2773521,0.19009344,-0.08689737,0.1542814,-0.10786773,-0.15545192,-0.21170613,-0.10819526,0.1130849,0.09597921,0.15429531,0.26247343,-0.013022931,0.052290145,-0.21748376,-0.06131161,-0.3998797,-0.36424947,-0.1038384,0.041210413,-0.20446083,-0.0839728,0.122270785,-0.16306338,-0.03581205,0.047256663,0.16649422,-0.11360176,0.046645265,0.1238079,-0.07716264,0.17045316
1958,0.3578487,0.1706631,0.024099417,0.06659881,0.09549754,0.032062307,-0.04981632,0.105898224,-0.0706308,-0.16599855,-0.13746834,-0.09898023,0.034918256,-0.016634023,0.10579947,0.21165872,-0.12105125,-0.12410057,-0.16756415,-0.0975652,-0.3337493,-0.14531386,-0.066837534,0.07088121,-0.0465129,-0.044989984,0.059316494,-0.10406429,0.07383592,0.067018315,0.22829273,0.026535377,0.022965664,-0.0014183646,0.02438403,0.021547299
1959,0.37994337,0.22672963,0.049973466,0.12763166,0.093827635,0.07365943,-0.00095289946,0.15008624,0.0020103455,-0.09289606,-0.14883386,-0.15134445,0.11858107,0.067734376,0.11038146,0.26223946,-0.09437075,-0.104096204,-0.18776192,-0.05333779,-0.3299699,-0.094780535,-0.1508442,-0.00819961,-0.093391165,-0.03543875,0.09999834,-0.09909797,0.07642681,-0.05844839,0.19450508,0.050758414,0.05572037,0.044159796,0.011560574,0.09988017
1960,0.3015164,0.14911422,-0.020452533,0.044976346,0.13143289,0.09559904,-0.095670424,0.08154565,-0.058560792,-0.104772516,-0.14858955,-0.1382665,0.01910181,-0.054586694,0.003205968,0.1785402,-0.01836073,-0.042772837,-0.18978497,-0.12772942,-0.32196894,-0.22710332,-0.09002876,-0.015895842,-0.17142424,-0.09025831,0.075025916,-0.104137875,-0.014053389,-0.03349399,0.2331269,-0.08495658,-0.009434025,0.029002348,-0.03843637,0.019568324
1961,0.4040575,0.25194928,-0.050265,0.08839129,0.09472713,-0.0008343272,-0.10803718,0.11480816,-0.19407654,-0.14884928,-0.16094127,-0.16070983,-0.07464597,-0.038827978,0.039924808,0.17306705,0.050394047,0.029193595,-0.24967326,-0.13068134,-0.45432252,-0.2027643,0.033135265,0.114570774,-0.3000673,-0.105798386,0.056091238,-0.16355799,0.11564249,-0.011860549,0.21189502,-0.15987493,-0.0038603086,0.031226404,-0.035086714,0.027366096
1962,0.30765417,0.22016671,-0.05736762,0.0683445,0.2738122,0.19366278,-0.11393339,0.117617995,-0.1556064,-0.16203997,-0.10000852,-0.11612349,0.004825644,-0.008385869,0.05091733,0.19027895,-0.04068227,-0.020420484,-0.2412006,-0.11565176,-0.3650218,-0.3877456,0.055597886,0.046091687,-0.20051832,-0.09231856,0.07800068,-0.15182221,-0.07604478,0.045916475,0.19866481,-0.09523127,0.005088801,0.082799226,-0.07771043,0.087888025
1963,0.31358594,0.13598281,-0.10620784,0.032304764,0.10462631,-0.027112134,-0.16214508,0.0034497716,0.023677155,-0.09971762,-0.121748365,-0.0894645,-0.0044433624,-0.04520245,0.06808528,0.19725795,-0.10318987,-0.0784692,-0.23800926,-0.119571775,-0.41979378,-0.26677138,-0.14542553,0.072528645,-0.13481939,-0.112005055,0.066851236,-0.10367805,0.030561905,0.0102531165,0.2424604,-0.041102573,-0.023028145,-0.0016487142,-0.02137943,-0.02467686
1964,0.14242493,-0.008115787,-0.09095622,0.05706715,0.08527516,0.040952846,-0.2109353,0.009727776,-0.19778536,-0.19746104,-0.29020503,-0.18067238,-0.054392602,-0.06940919,0.031552657,0.15099886,-0.13419084,-0.059001677,-0.31358296,-0.16331649,-0.23338115,-0.29621047,-0.09241967,0.08594526,-0.17939211,-0.17482537,-0.031733744,0.06518294,-0.03122507,0.016788661,0.22040805,-0.10431481,-0.056188393,-0.034626614,-0.02156178,-0.09081501
1965,0.14054418,-0.08800418,-0.041151155,0.08302502,-0.028242797,-0.04834,-0.18413,0.053529125,-0.23148303,-0.19992453,-0.15307434,-0.16304031,-0.1704346,-0.13060687,-0.033848666,0.05642116,-0.07443201,-0.030106805,-0.2782747,-0.16396153,-0.18169533,-0.1558872,0.07840869,0.13658592,-0.20384267,-0.13809577,-0.07280965,0.17102921,0.10186912,0.03688422,0.18702804,-0.13385472,-0.05302609,-0.08753753,0.034511436,-0.14056362
1966,0.12226689,-0.09865275,0.07271709,0.012296636,-0.14951973,-0.11894691,-0.26301283,-0.0810911,-0.25624448,-0.17538886,-0.102371715,0.036063313,-0.26570702,-0.1561503,-0.054798484,0.011819828,0.11873177,0.0925446,-0.23449585,-0.16033405,-0.049549796,-0.1134931,0.15387276,0.21090853,-0.35322762,-0.11639235,-0.08609451,0.11094938,0.03785581,0.21145217,0.16797012,-0.25287867,-0.07404303,-0.10101899,0.02697596,-0.17506202
1967,0.16478871,0.1228212,0.08661693,0.10648769,-0.10988188,-0.14480135,-0.13477176,0.09666066,-0.2677124,-0.2173582,-0.16188625,-0.15789859,-0.25167865,-0.16522904,0.040266298,0.12750582,0.0025672112,0.13636728,-0.1725786,-0.063309856,-0.078171775,-0.024889886,0.10582617,0.29194495,-0.17514582,-0.06847067,-0.0923834,-0.016333506,0.241462,0.05945961,0.29273486,-0.19967714,-0.004221006,-0.063013665,0.05879266,-0.06723467
1968,0.25870162,0.31687796,0.074525714,0.06436496,0.026334267,0.007308714,-0.12749419,0.024147015,-0.3046302,-0.22706369,-0.047415994,0.103147335,-0.2402699,-0.20117563,0.013400136,0.11657471,-0.04682064,0.1461626,-0.26703793,0.01139248,-0.18417591,-0.15382846,0.2572142,0.25367004,-0.22021729,-0.070804454,-0.06133697,-0.252513,0.016838301,0.330211,0.31775033,-0.13477013,0.032022055,0.011407371,0.020614684,0.043429427
1969,0.35825253,0.12831822,0.1071437,0.095103815,0.028396212,-0.17325652,-0.15336058,-0.032678805,-0.24105667,-0.19723308,-0.070780054,0.0010844022,-0.111059114,-0.0643942,0.05015162,-0.02159629,-0.024660902,0.085405976,-0.19333492,-0.12509364,-0.25110883,-0.1817568,0.17027661,0.16121073,-0.16867402,-0.052036047,0.0019744125,-0.033214405,0.1405777,0.19831748,0.04279791,-0.21049961,-0.039423514,-0.03212723,-0.007296283,-0.07155074
1970,0.19705066,0.005647421,0.08173978,0.19328462,0.2164551,-0.013096392,-0.15223779,0.078170955,-0.22383799,-0.16221496,0.0045086853,0.06715244,-0.12820135,-0.15975448,-0.003414292,-0.022108816,-0.058823578,0.067530856,-0.18462712,-0.022219475,-0.11531088,-0.36869287,0.22834668,0.12478706,-0.12580353,-0.050806142,0.0005285695,0.1876372,0.09126735,0.2293674,0.13764566,-0.089750335,0.023673654,-0.007572077,0.03124573,0.016101576
1971,0.126351,-0.043555852,-0.057641096,0.1667563,0.07443713,-0.013173394,-0.12851389,0.1517562,-0.15418276,-0.107565716,0.08797052,0.1551542,-0.14957467,-0.06298894,-0.106706224,0.042976283,0.031432558,0.21049632,-0.23149574,-0.0478156,-0.18399209,-0.20295101,0.24215329,0.042868443,-0.2629283,-0.087277286,-0.01430735,0.21031216,0.1649296,0.26271993,0.10596522,-0.25831193,0.056718916,0.0096082585,0.04711066,0.06632718
1972,0.11654137,-0.107000604,-0.04591334,0.08236669,0.048176065,-0.04976795,-0.22137533,0.11181231,-0.15942998,-0.12781318,-0.053203046,-0.018286364,-0.13069627,-0.12939876,-0.07486038,0.03514502,-0.059021443,0.012220494,-0.28162444,-0.13490842,-0.16245471,-0.2695514,0.106226936,0.055835888,-0.222603,-0.13539532,-0.03688605,0.1893673,0.16158026,0.10952681,0.16454378,-0.14712891,-0.024207683,-0.058930654,0.03472297,-0.08313834
1973,0.19426021,-0.085360445,-0.06221267,0.050491847,0.15089399,-0.027325088,-0.19851686,0.076175526,-0.059181258,-0.22591436,-0.14208195,-0.10591338,-0.012179092,-0.12128818,-0.09673086,0.06256723,-0.0023559853,-0.00425718,-0.2565958,-0.119636886,-0.2564729,-0.34941083,-0.08290069,-0.08455177,-0.2542398,-0.15122762,0.054287575,0.13585229,0.10350061,0.12000098,0.18385541,-0.115379706,-0.039138753,-0.052208543,0.01306979,-0.09134729
1974,0.32164493,0.016493417,-0.043675847,0.0505021,0.08235645,-0.113683835,-0.2087597,0.117031485,0.05137324,-0.15227908,-0.011610808,-0.076182425,0.0031167604,-0.1212401,-0.091839075,0.022412807,0.19092545,0.11700924,-0.26023078,-0.08619322,-0.36532077,-0.29111615,-0.06298405,-0.09495583,-0.45115623,-0.12322323,0.12988336,0.03400868,0.23071532,0.076096654,0.14365292,-0.20320246,-0.030198159,-0.028557317,-0.0016408414,-0.058755476
1975,0.092231095,-0.105933934,-0.060236916,0.02541896,0.016958073,-0.11298982,-0.22791755,0.05706364,-0.16627431,-0.15821059,-0.1062839,-0.12091526,-0.0065161064,-0.091004014,0.051188134,0.07585906,-0.051797055,0.019581333,-0.2671419,-0.15479265,-0.15246801,-0.24487562,0.059990406,0.05770424,-0.21534485,-0.12207843,-0.02307966,0.1313529,0.17005345,0.037295334,0.16686308,-0.17437398,-0.0575473,-0.07193316,0.014385857,-0.12948045
1976,-0.0021641813,-0.094305426,-0.032809477,0.07799655,-0.054232758,-0.2639528,-0.24148129,-0.010954801,-0.23612288,-0.25359282,-0.06594737,0.033717204,-0.09867088,-0.13805997,0.110965,0.09286439,-0.01116218,0.039688073,-0.21129194,-0.041295823,-0.030645296,-0.18724853,0.17017551,0.20963588,-0.20012976,-0.088113025,-0.08047058,0.17230198,0.252998,0.28731003,0.23092437,-0.08098389,-0.014858961,-0.1274093,0.11255033,-0.14226826
1977,0.019385196,-0.076123774,0.048854083,0.08888079,0.020053716,-0.116979964,-0.16368634,0.103721626,-0.18559845,-0.20193271,-0.055939857,0.00656398,-0.08406427,-0.10164791,0.11327466,0.14153498,0.056652233,0.2290312,-0.19430543,-0.023872443,0.029468887,-0.18374005,0.1296586,0.19733894,-0.25095767,-0.05036057,-0.034714315,0.16500457,0.22070159,0.20849669,0.2431829,-0.25290364,0.025523767,-0.04126657,0.06679034,-0.015742805
1978,0.16709967,0.048398644,-0.06678016,0.066926,0.20138156,0.12649763,-0.08177204,0.19956315,-0.19834432,-0.20090866,-0.05300661,0.017498542,0.025806539,0.041174203,0.15371498,0.29725403,0.07107928,0.07040854,-0.23107964,-0.077270746,-0.23387983,-0.2831536,0.1453377,0.12790844,-0.30215892,-0.05578469,0.053404547,0.018527359,0.07306552,0.2184072,0.25607982,-0.14767928,0.070366494,0.047825318,0.022541177,0.11819181
1979,0.10220959,0.07641002,-0.09075394,0.042106565,0.14000468,0.048307113,-0.031105287,0.21426985,-0.10259231,-0.11622891,-0.075040706,-0.006862427,0.084579475,0.076265305,0.22203295,0.32224417,0.053682894,0.15307154,-0.23207916,-0.07922151,-0.19296354,-0.17110997,0.027551606,0.13745347,-0.28576207,-0.04138923,0.05557686,-0.034303453,0.16596273,0.109366484,0.24597886,-0.23229304,0.07690523,0.06297162,0.013933606,0.13987684
1980,0.25711548,0.16082904,-0.05903764,0.072722584,0.21281025,0.08952602,-0.062064804,0.19718853,-0.07031933,-0.11445695,-0.0841618,-0.0023257602,0.3177692,0.2634867,0.22728711,0.35071945,0.16189602,0.21383595,-0.16693099,-0.02743188,-0.3161531,-0.27487504,-0.013842471,-0.090482086,-0.32882702,-0.028981622,0.17585433,-0.08810645,0.10766251,0.11213119,0.08723274,-0.24126783,0.08813468,0.13767184,-0.04953716,0.22580653
1981,0.2984506,0.16313046,0.06502691,0.106162965,0.34755898,0.1052724,0.043607146,0.23643869,-0.07273248,-0.1244931,-0.13123652,-0.051461738,0.25251245,0.18211368,0.25578195,0.34058946,0.18222007,0.19348839,-0.18702497,-0.04336315,-0.23342368,-0.30395183,-0.058504045,0.0032694936,-0.36924505,0.009230902,0.20160194,-0.056967497,0.1311663,0.073031366,0.15847579,-0.23685154,0.105328895,0.1445118,-0.03918291,0.2498407
1982,0.25620872,0.13645831,0.028583366,0.10435898,0.28352892,0.17380694,0.058147907,0.25778633,-0.038968105,-0.10743812,-0.07736872,0.01963593,0.307683,0.24331628,0.24543276,0.33562303,0.18723226,0.20394138,-0.18576774,-0.061548077,-0.22762536,-0.22538102,-0.038400616,-0.062250227,-0.373,0.013805514,0.19913696,-0.03209933,0.0839794,0.12707405,0.09230675,-0.26548946,0.11900068,0.15560228,-0.036601596,0.27460295
1983,0.31924796,0.12934357,0.032810163,0.09803842,0.23456012,0.1094609,0.06348044,0.2656396,-0.031098515,-0.12944831,-0.09968541,0.008790784,0.3029083,0.20591798,0.28166527,0.3657522,0.2706462,0.27994835,-0.14051905,0.0059948564,-0.2864378,-0.17107968,-0.06858689,-0.021243036,-0.41116527,0.02755028,0.21925282,-0.03130515,0.15617871,0.13823909,0.1598342,-0.2739535,0.13461605,0.1382971,-0.0036810488,0.27291316
1984,0.4120346,0.13062418,-0.020951726,0.067632124,0.37108487,0.09357548,0.08348873,0.25077963,0.05121015,-0.08844679,-0.08731169,-0.036052622,0.47478282,0.26984486,0.28381497,0.30160606,0.13561834,0.12393798,-0.15415728,-0.079627566,-0.43298632,-0.28759614,-0.13852185,-0.19096786,-0.2897756,0.020976603,0.28894615,-0.06299205,0.15720415,0.052394167,0.0317612,-0.20356554,0.09797105,0.15010343,-0.052132383,0.24807449
