GDP per capita,year,tight,loose,indi,coll,old_care_vir,young_care_vir,old_care_vic,young_care_vic,old_fare_vir,young_fare_vir,old_fare_vic,young_fare_vic,old_loya_vir,young_loya_vir,old_loya_vic,young_loya_vic,old_auth_vir,young_auth_vir,old_auth_vic,young_auth_vic,old_sanc_vir,young_sanc_vir,old_sanc_vic,young_sanc_vic,old_care,old_fare,old_loya,old_auth,old_sanc,old_virtue,old_vice,young_care,young_fare,young_loya,young_auth,young_sanc,young_virtue,young_vice,old_positive,young_positive,old_negative,young_negative,old_competent,young_competent,old_warm,young_warm,old_incompetent,young_incompetent,old_unwarm,young_unwarm
799.0,1950,0.0023678380115939,0.0014133978423274,0.0002111562645836,0.0009693750824908,-0.014116071,0.12274656,0.4908189,0.30023992,-0.17956635,0.03210085,0.11496862,0.01664484,-0.032489784,0.30675903,0.38635978,0.25552195,-0.14025724,0.014930524,0.03291788,-0.10179567,0.09970752,0.2615624,0.11537191,0.0569227,0.4908189,0.11496862,0.38635978,0.03291788,0.11537191,-0.0533443868160247,0.2280874252319336,0.30023992,0.01664484,0.25552195,-0.10179567,0.0569227,0.1476198673248291,0.1055067420005798,0.263975,0.43060696,0.28342736,0.27729297,-0.0056920275,0.19014692,0.33162796,0.46501333,0.1967934,0.06624191,0.22900471,0.1783303
950.0,1951,0.002377664309597,0.0013693728802991,0.0001952919523318,0.0008478401311094,-0.05934968,0.13233238,0.5463116,0.43751907,-0.1969503,0.037134044,0.13240176,0.2351386,-0.023234995,0.22761706,0.36547476,0.29496038,-0.14983544,0.05192768,0.05784431,0.05142282,0.09366292,0.28368124,0.11469005,0.13845748,0.5463116,0.13240176,0.36547476,0.05784431,0.11469005,-0.0671414971351623,0.243344497680664,0.43751907,0.2351386,0.29496038,0.05142282,0.13845748,0.1465384840965271,0.2314996719360351,0.27500474,0.45203748,0.31076524,0.34632045,-0.0037801191,0.2755709,0.30449712,0.45528433,0.16865158,0.16205241,0.19794814,0.21428986
1047.0,1952,0.0022666129011289,0.001429752161016,0.0001914108385487,0.0008521259222789,0.060572878,0.1539418,0.44213986,0.18530917,-0.1570993,0.0015624631,0.05318016,0.019320719,0.0025856048,0.27081695,0.23938124,0.22158484,-0.21994868,-0.07596659,0.11234968,-0.038957316,0.044719644,0.22964048,0.06238179,0.026250998,0.44213986,0.05318016,0.23938124,0.11234968,0.06238179,-0.0538339734077453,0.1818865537643432,0.18530917,0.019320719,0.22158484,-0.038957316,0.026250998,0.1159990191459655,0.0827016830444336,0.26349956,0.42522907,0.2115044,0.17633554,0.029386578,0.24761648,0.31504,0.40506858,0.056002926,-0.033952847,0.108154394,0.045064397
1157.0,1953,0.0021503207799144,0.0014707932930296,0.0002054181364863,0.0008300026062215,-0.004270468,0.17807278,0.43204182,0.21592027,-0.13293111,0.08485252,0.23235153,0.12976025,0.012624934,0.27685526,0.3221594,0.17236052,-0.19068974,-0.031701393,0.079356894,0.009482883,0.15640464,0.3475817,0.038874507,0.019799683,0.43204182,0.23235153,0.3221594,0.079356894,0.038874507,-0.0317723453044891,0.2209568262100219,0.21592027,0.12976025,0.17236052,0.009482883,0.019799683,0.1711321830749511,0.1094647288322448,0.25452802,0.45093632,0.31781697,0.22132462,-0.034130715,0.26443347,0.326711,0.47358638,0.076872125,-0.0030708192,0.19469634,0.127003
1049.0,1954,0.0019928445323265,0.0016114866514129,0.0002051171959495,0.0008252079824322,-0.04967099,0.14977795,0.48834443,0.29716435,-0.15453914,0.022034645,0.032631114,0.034490038,-0.056214496,0.21554622,0.13271444,0.0672057,-0.18168761,-0.07339683,-0.06508582,-0.095714465,0.033671156,0.24285255,0.08007439,0.047301814,0.48834443,0.032631114,0.13271444,-0.06508582,0.08007439,-0.0816882133483886,0.133735704421997,0.29716435,0.034490038,0.0672057,-0.095714465,0.047301814,0.1113629102706909,0.0700894951820373,0.24394126,0.44938004,0.43455595,0.30201164,-0.0029206425,0.2955892,0.26932028,0.42203867,0.24217512,0.12871952,0.234713,0.17242435
1119.0,1955,0.0019432719136602,0.0016583807527002,0.0002070813354099,0.0008666974782564,-0.040996093,0.12975973,0.46376675,0.22851378,-0.18426678,-0.081814066,-0.03800707,-0.09159523,-0.056493767,0.2698294,0.34526038,0.19926497,-0.18552619,-0.16029055,-0.07279526,-0.090297885,0.07643315,0.29205108,0.15802418,0.1491208,0.46376675,-0.03800707,0.34526038,-0.07279526,0.15802418,-0.0781699359416961,0.1712497949600219,0.22851378,-0.09159523,0.19926497,-0.090297885,0.1491208,0.0899071216583251,0.0790012836456298,0.31208628,0.51733613,0.35154638,0.32206357,0.07506241,0.27009487,0.28591138,0.45107728,0.23613982,0.083439,0.24139538,0.14458294
1189.0,1956,0.0020217791285241,0.0017135152264365,0.0001936896075628,0.0008637386862022,-0.051150456,0.06652523,0.33185917,0.1903278,-0.20504668,-0.07704212,-0.06763521,-0.014894433,0.011102198,0.2741717,0.40179706,0.22529627,-0.10242504,-0.08310413,-0.027541269,-0.091625474,0.10978313,0.24850646,0.13300188,0.042594388,0.33185917,-0.06763521,0.40179706,-0.027541269,0.13300188,-0.047547373175621,0.1542963147163391,0.1903278,-0.014894433,0.22529627,-0.091625474,0.042594388,0.0858114302158355,0.0703397154808044,0.3025995,0.45814508,0.3676612,0.29283747,0.057282887,0.261316,0.28766936,0.41288537,0.18402198,0.07775247,0.18729182,0.11817187
1195.0,1957,0.001941861727427,0.0017376546626895,0.0001754484007377,0.0008298817760256,-0.058072075,0.11952099,0.3418076,0.28258437,-0.21748376,-0.06131161,-0.013022931,0.052290145,-0.08689737,0.1542814,0.2773521,0.19009344,-0.21170613,-0.10819526,-0.10786773,-0.15545192,0.15429531,0.26247343,0.1130849,0.09597921,0.3418076,-0.013022931,0.2773521,-0.10786773,0.1130849,-0.0839728116989135,0.1222707986831665,0.28258437,0.052290145,0.19009344,-0.15545192,0.09597921,0.0733537912368774,0.0930990517139434,0.30812708,0.44518882,0.31970933,0.3148807,-0.007946445,0.2511629,0.33965653,0.44698012,0.14579329,0.15982182,0.19809349,0.20676395
1173.0,1958,0.0018974398410754,0.0018207776588567,0.0001821682510728,0.0009134100286749,0.024099417,0.06659881,0.3578487,0.1706631,-0.16756415,-0.0975652,-0.12105125,-0.12410057,-0.04981632,0.105898224,0.09549754,0.032062307,-0.13746834,-0.09898023,-0.0706308,-0.16599855,0.10579947,0.21165872,0.034918256,-0.016634023,0.3578487,-0.12105125,0.09549754,-0.0706308,0.034918256,-0.0449899852275848,0.0593164920806884,0.1706631,-0.12410057,0.032062307,-0.16599855,-0.016634023,0.0375220656394958,-0.0208015471696853,0.2666073,0.38340873,0.2863386,0.24264205,0.055465974,0.23242836,0.32182994,0.36711937,0.1529593,0.08507359,0.14630166,0.0674517
1117.0,1959,0.0019128666210852,0.0018202764923011,0.0001830436391873,0.0009228634521361,0.049973466,0.12763166,0.37994337,0.22672963,-0.18776192,-0.05333779,-0.09437075,-0.104096204,-0.00095289946,0.15008624,0.093827635,0.07365943,-0.14883386,-0.15134445,0.0020103455,-0.09289606,0.11038146,0.26223946,0.11858107,0.067734376,0.37994337,-0.09437075,0.093827635,0.0020103455,0.11858107,-0.0354387462139129,0.0999983310699463,0.22672963,-0.104096204,0.07365943,-0.09289606,0.067734376,0.0670550227165222,0.0342262327671051,0.27834794,0.41505483,0.2738527,0.22736353,0.03179326,0.25305343,0.31355932,0.37989154,0.22646882,0.11641256,0.15178546,0.096903846
1057.0,1960,0.0020095597553303,0.0018171309293301,0.0001775353648072,0.0009407795831829,-0.020452533,0.044976346,0.3015164,0.14911422,-0.18978497,-0.12772942,-0.01836073,-0.042772837,-0.095670424,0.08154565,0.13143289,0.09559904,-0.14858955,-0.1382665,-0.058560792,-0.104772516,0.003205968,0.1785402,0.01910181,-0.054586694,0.3015164,-0.01836073,0.13143289,-0.058560792,0.01910181,-0.0902583062648773,0.0750259160995483,0.14911422,-0.042772837,0.09559904,-0.104772516,-0.054586694,0.0078132569789886,0.0085162416100502,0.23138012,0.35764718,0.19126305,0.1628585,-0.0089303525,0.22343773,0.21511975,0.2764377,0.17525572,0.069399066,0.16448283,0.0486306
874.0,1961,0.0020122009699922,0.001781193857463,0.0001755801529955,0.0009080513891197,-0.050265,0.08839129,0.4040575,0.25194928,-0.24967326,-0.13068134,0.050394047,0.029193595,-0.10803718,0.11480816,0.09472713,-0.0008343272,-0.16094127,-0.16070983,-0.19407654,-0.14884928,0.039924808,0.17306705,-0.07464597,-0.038827978,0.4040575,0.050394047,0.09472713,-0.19407654,-0.07464597,-0.1057983756065368,0.0560912430286407,0.25194928,0.029193595,-0.0008343272,-0.14884928,-0.038827978,0.0169750660657882,0.0185262635350227,0.33276665,0.4288351,0.17053756,0.17533529,0.06797707,0.2400546,0.32137164,0.38836628,0.26777542,0.1491586,0.117766194,0.08815411
926.0,1962,0.0020109888016902,0.0017754553675583,0.0001828938364205,0.0008980330450226,-0.05736762,0.0683445,0.30765417,0.22016671,-0.2412006,-0.11565176,-0.04068227,-0.020420484,-0.11393339,0.117617995,0.2738122,0.19366278,-0.10000852,-0.11612349,-0.1556064,-0.16203997,0.05091733,0.19027895,0.004825644,-0.008385869,0.30765417,-0.04068227,0.2738122,-0.1556064,0.004825644,-0.0923185586929321,0.0780006766319274,0.22016671,-0.020420484,0.19366278,-0.16203997,-0.008385869,0.0288932383060455,0.0445966362953186,0.37195534,0.4510096,0.30012113,0.25073487,0.061484452,0.30761364,0.3355621,0.4115806,0.22081903,0.11956247,0.25164738,0.1503263
1034.0,1963,0.0020132025828323,0.0017218104503911,0.00017299659664,0.0008484134696971,-0.10620784,0.032304764,0.31358594,0.13598281,-0.23800926,-0.119571775,-0.10318987,-0.0784692,-0.16214508,0.0034497716,0.10462631,-0.027112134,-0.121748365,-0.0894645,0.023677155,-0.09971762,0.06808528,0.19725795,-0.0044433624,-0.04520245,0.31358594,-0.10318987,0.10462631,0.023677155,-0.0044433624,-0.112005066871643,0.0668512344360351,0.13598281,-0.0784692,-0.027112134,-0.09971762,-0.04520245,0.0047952413558959,-0.0229037180542945,0.2695429,0.3582004,0.17816566,0.092032485,-0.007507551,0.19778948,0.27029997,0.35426384,0.1477234,0.020680007,0.1148217,0.012259152
1152.0,1964,0.0020260882906281,0.0016427392544276,0.0001763944827562,0.0008618056084474,-0.09095622,0.05706715,0.14242493,-0.008115787,-0.31358296,-0.16331649,-0.13419084,-0.059001677,-0.2109353,0.009727776,0.08527516,0.040952846,-0.29020503,-0.18067238,-0.19778536,-0.19746104,0.031552657,0.15099886,-0.054392602,-0.06940919,0.14242493,-0.13419084,0.08527516,-0.19778536,-0.054392602,-0.1748253583908081,-0.0317337453365325,-0.008115787,-0.059001677,0.040952846,-0.19746104,-0.06940919,-0.0252390146255493,-0.0586069703102111,0.24686892,0.33772796,0.18759575,0.13387094,-0.063578814,0.14203294,0.258945,0.33737463,0.062473148,0.008749951,0.0765792,0.023750642
1253.0,1965,0.0019501412093144,0.0015989135199276,0.0001581272675334,0.0008322552640355,-0.041151155,0.08302502,0.14054418,-0.08800418,-0.2782747,-0.16396153,-0.07443201,-0.030106805,-0.18413,0.053529125,-0.028242797,-0.04834,-0.15307434,-0.16304031,-0.23148303,-0.19992453,-0.033848666,0.05642116,-0.1704346,-0.13060687,0.14054418,-0.07443201,-0.028242797,-0.23148303,-0.1704346,-0.1380957603454589,-0.0728096485137939,-0.08800418,-0.030106805,-0.04834,-0.19992453,-0.13060687,-0.026805305480957,-0.0993964791297912,0.2550704,0.327159,0.10314847,0.031063326,-0.042455405,0.19222745,0.278751,0.32665452,0.13513573,0.0041458374,0.014441669,-0.14138128
1261.0,1966,0.0020415777445675,0.0015333564869633,0.0001427745193041,0.0008012761576432,0.07271709,0.012296636,0.12226689,-0.09865275,-0.23449585,-0.16033405,0.11873177,0.0925446,-0.26301283,-0.0810911,-0.14951973,-0.11894691,-0.102371715,0.036063313,-0.25624448,-0.17538886,-0.054798484,0.011819828,-0.26570702,-0.1561503,0.12226689,0.11873177,-0.14951973,-0.25624448,-0.26570702,-0.1163923501968383,-0.0860945105552673,-0.09865275,0.0925446,-0.11894691,-0.17538886,-0.1561503,-0.0362490743398666,-0.0913188457489013,0.2005521,0.1839615,0.046726696,0.01688153,-0.085521124,0.029082924,0.32862008,0.23800401,0.18855074,0.06920903,-0.047379553,-0.10790029
1237.0,1967,0.0020246552698007,0.0014915747212813,0.0001186020824255,0.0007792937209834,0.08661693,0.10648769,0.16478871,0.1228212,-0.1725786,-0.063309856,0.0025672112,0.13636728,-0.13477176,0.09666066,-0.10988188,-0.14480135,-0.16188625,-0.15789859,-0.2677124,-0.2173582,0.040266298,0.12750582,-0.25167865,-0.16522904,0.16478871,0.0025672112,-0.10988188,-0.2677124,-0.25167865,-0.068470674753189,-0.0923834025859832,0.1228212,0.13636728,-0.14480135,-0.2173582,-0.16522904,0.0218891441822052,-0.0536400198936462,0.27157056,0.21105865,0.11512628,0.0680233,-0.0655704,0.09481865,0.3962464,0.26800686,0.108448714,0.0655488,0.090274975,0.06702289
1178.0,1968,0.0020229475968156,0.0014450038602059,0.0001195928391877,0.0007418141647568,0.074525714,0.06436496,0.25870162,0.31687796,-0.26703793,0.01139248,-0.04682064,0.1461626,-0.12749419,0.024147015,0.026334267,0.007308714,-0.047415994,0.103147335,-0.3046302,-0.22706369,0.013400136,0.11657471,-0.2402699,-0.20117563,0.25870162,-0.04682064,0.026334267,-0.3046302,-0.2402699,-0.0708044528961181,-0.0613369703292846,0.31687796,0.1461626,0.007308714,-0.22706369,-0.20117563,0.063925302028656,0.0084219932556152,0.23651752,0.17199078,0.07030364,0.12117293,-0.012102723,0.13181233,0.3794186,0.18612322,-0.013695754,0.020736676,0.15320897,0.15829138
1264.0,1969,0.0020550113745311,0.0014355117289182,0.0001327604295348,0.0007020524778909,0.1071437,0.095103815,0.35825253,0.12831822,-0.19333492,-0.12509364,-0.024660902,0.085405976,-0.15336058,-0.032678805,0.028396212,-0.17325652,-0.070780054,0.0010844022,-0.24105667,-0.19723308,0.05015162,-0.02159629,-0.111059114,-0.0643942,0.35825253,-0.024660902,0.028396212,-0.24105667,-0.111059114,-0.0520360469818115,0.0019744098186492,0.12831822,0.085405976,-0.17325652,-0.19723308,-0.0643942,-0.0166361033916473,-0.0442319214344024,0.09785875,0.18884826,0.11694924,0.16185054,-0.092190586,0.051505998,0.3037396,0.26071495,0.038879085,0.039585434,0.14634043,0.09879845
1398.0,1970,0.0021450991141997,0.0014736966213644,0.0001566739941754,0.0007072280300073,0.08173978,0.19328462,0.19705066,0.005647421,-0.18462712,-0.022219475,-0.058823578,0.067530856,-0.15223779,0.078170955,0.2164551,-0.013096392,0.0045086853,0.06715244,-0.22383799,-0.16221496,-0.003414292,-0.022108816,-0.12820135,-0.15975448,0.19705066,-0.058823578,0.2164551,-0.22383799,-0.12820135,-0.0508061468601226,0.0005285680294036,0.005647421,0.067530856,-0.013096392,-0.16221496,-0.15975448,0.0588559448719024,-0.0523775100708007,0.23666358,0.21906795,0.06678605,-0.0031409785,-0.08223253,0.06628144,0.2944649,0.22473693,0.18277556,0.087342754,0.04310456,-0.09400278
1446.0,1971,0.0022021233385934,0.0015342329314965,0.0001877088410537,0.0006784373221405,-0.057641096,0.1667563,0.126351,-0.043555852,-0.23149574,-0.0478156,0.031432558,0.21049632,-0.12851389,0.1517562,0.07443713,-0.013173394,0.08797052,0.1551542,-0.15418276,-0.107565716,-0.106706224,0.042976283,-0.14957467,-0.06298894,0.126351,0.031432558,0.07443713,-0.15418276,-0.14957467,-0.0872772812843322,-0.0143073499202728,-0.043555852,0.21049632,-0.013173394,-0.107565716,-0.06298894,0.0937654793262481,-0.0033575147390365,0.28369915,0.37804323,0.11287679,0.12068869,-0.079899706,0.1588612,0.24525715,0.31052232,0.1338287,0.03970143,0.10636711,-0.0335033
1431.0,1972,0.0023599155444782,0.0015730937410296,0.0002240677464036,0.000682278723681,-0.04591334,0.08236669,0.11654137,-0.107000604,-0.28162444,-0.13490842,-0.059021443,0.012220494,-0.22137533,0.11181231,0.048176065,-0.04976795,-0.053203046,-0.018286364,-0.15942998,-0.12781318,-0.07486038,0.03514502,-0.13069627,-0.12939876,0.11654137,-0.059021443,0.048176065,-0.15942998,-0.13069627,-0.1353953123092651,-0.0368860512971878,-0.107000604,0.012220494,-0.04976795,-0.12781318,-0.12939876,0.0152258455753326,-0.0803519964218139,0.27676892,0.41070682,0.06880899,0.009085261,-0.08691988,0.21339,0.26339433,0.35053965,0.093494415,-0.0037308633,0.07597068,-0.06489887
1513.0,1973,0.002379180467098,0.0016173050488512,0.0002430775573511,0.0006645345831738,-0.06221267,0.050491847,0.19426021,-0.085360445,-0.2565958,-0.119636886,-0.0023559853,-0.00425718,-0.19851686,0.076175526,0.15089399,-0.027325088,-0.14208195,-0.10591338,-0.059181258,-0.22591436,-0.09673086,0.06256723,-0.012179092,-0.12128818,0.19426021,-0.0023559853,0.15089399,-0.059181258,-0.012179092,-0.1512276172637939,0.054287576675415,-0.085360445,-0.00425718,-0.027325088,-0.22591436,-0.12128818,-0.0072631329298019,-0.0928290486335754,0.20072196,0.3130622,0.14763512,0.06867699,-0.1349755,0.121746644,0.20316468,0.2738362,0.19189304,0.0105409175,0.17623602,-0.015898611
1519.0,1974,0.0024472996863421,0.0016670622594655,0.0002564915206245,0.0006621787935614,-0.043675847,0.0505021,0.32164493,0.016493417,-0.26023078,-0.08619322,0.19092545,0.11700924,-0.2087597,0.117031485,0.08235645,-0.113683835,-0.011610808,-0.076182425,0.05137324,-0.15227908,-0.091839075,0.022412807,0.0031167604,-0.1212401,0.32164493,0.19092545,0.08235645,0.05137324,0.0031167604,-0.1232232451438903,0.1298833727836608,0.016493417,0.11700924,-0.113683835,-0.15227908,-0.1212401,0.0055141493678092,-0.0507400691509246,0.2186646,0.33440375,0.246791,0.06904064,-0.06922062,0.1711878,0.26630843,0.3372017,0.174369,-0.03502266,0.07107021,-0.10529209
1594.0,1975,0.0024357597139247,0.001762874232073,0.0002645859130154,0.0006895054491695,-0.060236916,0.02541896,0.092231095,-0.105933934,-0.2671419,-0.15479265,-0.051797055,0.019581333,-0.22791755,0.05706364,0.016958073,-0.11298982,-0.1062839,-0.12091526,-0.16627431,-0.15821059,0.051188134,0.07585906,-0.0065161064,-0.091004014,0.092231095,-0.051797055,0.016958073,-0.16627431,-0.0065161064,-0.1220784306526184,-0.0230796605348587,-0.105933934,0.019581333,-0.11298982,-0.15821059,-0.091004014,-0.0234732523560524,-0.0897114038467407,0.28894874,0.31341887,0.21927463,0.054429233,-0.08904114,0.13604103,0.3061871,0.28484058,0.08244097,-0.042552553,0.09324393,-0.118262045
1519.0,1976,0.0024510967989824,0.0018534806541334,0.0002777476193541,0.0007171115555999,-0.032809477,0.07799655,-0.0021641813,-0.094305426,-0.21129194,-0.041295823,-0.01116218,0.039688073,-0.24148129,-0.010954801,-0.054232758,-0.2639528,-0.06594737,0.033717204,-0.23612288,-0.25359282,0.110965,0.09286439,-0.09867088,-0.13805997,-0.0021641813,-0.01116218,-0.054232758,-0.23612288,-0.09867088,-0.0881130099296569,-0.0804705739021301,-0.094305426,0.039688073,-0.2639528,-0.25359282,-0.13805997,0.0304655045270919,-0.1420445919036865,0.29624954,0.22499833,0.01690386,-0.040383697,-0.040972613,0.055581685,0.38991135,0.22003481,0.019089147,-0.018546201,-0.009825479,-0.096031286
1583.0,1977,0.0023510515091922,0.0019301410453778,0.0003016055064912,0.0007209409114027,0.048854083,0.08888079,0.019385196,-0.076123774,-0.19430543,-0.023872443,0.056652233,0.2290312,-0.16368634,0.103721626,0.020053716,-0.116979964,-0.055939857,0.00656398,-0.18559845,-0.20193271,0.11327466,0.14153498,-0.08406427,-0.10164791,0.019385196,0.056652233,0.020053716,-0.18559845,-0.08406427,-0.0503605782985687,-0.0347143143415451,-0.076123774,0.2290312,-0.116979964,-0.20193271,-0.10164791,0.0633657872676849,-0.0535306334495544,0.36806914,0.42346495,0.14887466,0.121416934,-0.020553464,0.15070021,0.4113575,0.37130237,0.058352783,0.042528085,0.14100538,0.024793508
1744.0,1978,0.0022842836085276,0.0020751532791591,0.0003115183242528,0.0007427891610681,-0.06678016,0.066926,0.16709967,0.048398644,-0.23107964,-0.077270746,0.07107928,0.07040854,-0.08177204,0.19956315,0.20138156,0.12649763,-0.05300661,0.017498542,-0.19834432,-0.20090866,0.15371498,0.29725403,0.025806539,0.041174203,0.16709967,0.07107928,0.20138156,-0.19834432,0.025806539,-0.0557846903800964,0.0534045457839965,0.048398644,0.07040854,0.12649763,-0.20090866,0.041174203,0.1007941961288452,0.0171140700578689,0.4364885,0.52099013,0.33826625,0.2623327,0.0019051488,0.20624243,0.38998693,0.4382748,0.15433708,0.07569379,0.19790858,0.10385609
1859.0,1979,0.0022059024586269,0.0022011871231817,0.0003303077156268,0.0007552242177634,-0.09075394,0.042106565,0.10220959,0.07641002,-0.23207916,-0.07922151,0.053682894,0.15307154,-0.031105287,0.21426985,0.14000468,0.048307113,-0.075040706,-0.006862427,-0.10259231,-0.11622891,0.22203295,0.32224417,0.084579475,0.076265305,0.10220959,0.053682894,0.14000468,-0.10259231,0.084579475,-0.0413892298936843,0.055576866865158,0.07641002,0.15307154,0.048307113,-0.11622891,0.076265305,0.0985073268413543,0.0475650131702423,0.4756714,0.512126,0.44999495,0.3503082,0.04819113,0.22398582,0.45660526,0.45844895,0.12315935,0.11072199,0.22162797,0.1580247
1930.0,1980,0.0021275761224127,0.0023366926564092,0.0003642678286195,0.000782439911323,-0.05903764,0.072722584,0.25711548,0.16082904,-0.16693099,-0.02743188,0.16189602,0.21383595,-0.062064804,0.19718853,0.21281025,0.08952602,-0.0841618,-0.0023257602,-0.07031933,-0.11445695,0.22728711,0.35071945,0.3177692,0.2634867,0.25711548,0.16189602,0.21281025,-0.07031933,0.3177692,-0.0289816260337829,0.1758543252944946,0.16082904,0.21383595,0.08952602,-0.11445695,0.2634867,0.1181745886802673,0.1226441621780395,0.4957567,0.55677456,0.50745726,0.38991132,0.0875835,0.2990862,0.47878736,0.5372261,0.24071586,0.20388277,0.36255184,0.28625947
1962.0,1981,0.00206532069959,0.0024698458070023,0.0004111986814661,0.0008067646369746,0.06502691,0.106162965,0.2984506,0.16313046,-0.18702497,-0.04336315,0.18222007,0.19348839,0.043607146,0.23643869,0.34755898,0.1052724,-0.13123652,-0.051461738,-0.07273248,-0.1244931,0.25578195,0.34058946,0.25251245,0.18211368,0.2984506,0.18222007,0.34755898,-0.07273248,0.25251245,0.0092309027910232,0.2016019344329834,0.16313046,0.19348839,0.1052724,-0.1244931,0.18211368,0.1176732420921325,0.1039023637771606,0.4777255,0.5026117,0.48721832,0.37640056,0.109693155,0.27099052,0.5154595,0.50391734,0.13697265,0.09422168,0.35487735,0.26301375
2128.0,1982,0.0020562225601159,0.0025901483591774,0.0004697919450588,0.0008075857695887,0.028583366,0.10435898,0.25620872,0.13645831,-0.18576774,-0.061548077,0.18723226,0.20394138,0.058147907,0.25778633,0.28352892,0.17380694,-0.07736872,0.01963593,-0.038968105,-0.10743812,0.24543276,0.33562303,0.307683,0.24331628,0.25620872,0.18723226,0.28352892,-0.038968105,0.307683,0.0138055145740509,0.1991369605064392,0.13645831,0.20394138,0.17380694,-0.10743812,0.24331628,0.1311712384223938,0.1300169587135315,0.4450094,0.5138942,0.5020077,0.40123916,0.08389326,0.317302,0.5235665,0.53556955,0.17298788,0.16690302,0.43229693,0.36248693
2227.0,1983,0.0020535259348304,0.0026933139546808,0.0005176986562876,0.0008103506281226,0.032810163,0.09803842,0.31924796,0.12934357,-0.14051905,0.0059948564,0.2706462,0.27994835,0.06348044,0.2656396,0.23456012,0.1094609,-0.09968541,0.008790784,-0.031098515,-0.12944831,0.28166527,0.3657522,0.3029083,0.20591798,0.31924796,0.2706462,0.23456012,-0.031098515,0.3029083,0.0275502800941467,0.2192528247833252,0.12934357,0.27994835,0.1094609,-0.12944831,0.20591798,0.1488431692123413,0.1190444946289062,0.48738676,0.50852853,0.5873652,0.42158562,0.085140504,0.30413067,0.5288085,0.51633036,0.21272941,0.15939935,0.4043796,0.29039386
