GDP per capita,year,tight,loose,indi,coll,old_care_vir,young_care_vir,old_fare_vir,young_fare_vir,old_loya_vir,young_loya_vir,old_auth_vir,young_auth_vir,old_sanc_vir,young_sanc_vir,old_care_vic,young_care_vic,old_fare_vic,young_fare_vic,old_loya_vic,young_loya_vic,old_auth_vic,young_auth_vic,old_sanc_vic,young_sanc_vic,old_care,old_fare,old_loya,old_auth,old_sanc,old_virtue,old_vice,young_care,young_fare,young_loya,young_auth,young_sanc,young_virtue,young_vice,old_positive,young_positive,old_negative,young_negative,old_warm,young_warm,old_unwarm,young_unwarm,old_competent,young_competent,old_incompetent,young_incompetent,oa_care_vic,ya_care_vic,oa_care_vir,ya_care_vir,oa_loya_vic,ya_loya_vic,oa_loya_vir,ya_loya_vir,oa_auth_vic,ya_auth_vic,oa_auth_vir,ya_auth_vir,oa_sanc_vic,ya_sanc_vic,oa_sanc_vir,ya_sanc_vir,oa_fare_vic,ya_fare_vic,oa_fare_vir,ya_fare_vir,oa_care,oa_loya,oa_auth,oa_sanc,oa_fare,oa_virtue,oa_vice,ya_care,ya_loya,ya_auth,ya_sanc,ya_fare,ya_virtue,ya_vice,ya_diff,ya_sum
1237.0,1967,0.0020246552698007,0.0014915747212813,0.0001186020824255,0.0007792937209834,0.2488509,0.16261107,-0.17917788,-0.008894192,-0.013229325,0.23962475,0.043503467,0.056885403,0.22252434,0.17844617,-0.11590498,0.007377699,-0.013170796,0.021446664,-0.19469944,-0.010740913,-0.2429386,-0.05420418,-0.18760101,-0.061806925,-0.11590498,-0.013170796,-0.19469944,-0.2429386,-0.18760101,0.0644942998886108,-0.150862967967987,0.007377699,0.021446664,-0.010740913,-0.05420418,-0.061806925,0.1257346391677856,-0.0195855319499969,-0.06283754,0.094783075,0.021982238,0.051278323,0.2619573,0.27811274,0.028971594,0.032881856,0.16622871,0.18966879,0.36466405,0.18410751,0.16478871,0.1228212,0.08661693,0.10648769,-0.10988188,-0.14480135,-0.13477176,0.09666066,-0.2677124,-0.2173582,-0.16188625,-0.15789859,-0.25167865,-0.16522904,0.040266298,0.12750582,0.0025672112,0.13636728,-0.1725786,-0.063309856,-0.078171775,-0.024889886,0.10582617,0.29194495,-0.17514582,-0.06847067,-0.0923834,-0.016333506,0.241462,0.05945961,0.29273486,-0.19967714,-0.004221006,-0.063013665,0.05879266,-0.06723467
1178.0,1968,0.0020229475968156,0.0014450038602059,0.0001195928391877,0.0007418141647568,0.23274155,0.105402164,-0.2682972,0.025216157,-0.018700292,0.16873622,0.036284663,0.1562016,0.14232436,0.07978523,-0.10406971,0.09847386,0.077648364,0.20622005,-0.11636528,0.002314888,-0.28324285,-0.06398274,-0.21304971,-0.029361486,-0.10406971,0.077648364,-0.11636528,-0.28324285,-0.21304971,0.024870616197586,-0.127815842628479,0.09847386,0.20622005,0.002314888,-0.06398274,-0.029361486,0.1070682764053344,0.0427329152822494,-0.14111789,0.07644425,0.062024307,0.13687184,0.2164846,0.19035152,0.032891806,0.12736294,0.09563494,0.15607226,0.35877126,0.272996,0.25870162,0.31687796,0.074525714,0.06436496,0.026334267,0.007308714,-0.12749419,0.024147015,-0.3046302,-0.22706369,-0.047415994,0.103147335,-0.2402699,-0.20117563,0.013400136,0.11657471,-0.04682064,0.1461626,-0.26703793,0.01139248,-0.18417591,-0.15382846,0.2572142,0.25367004,-0.22021729,-0.070804454,-0.06133697,-0.252513,0.016838301,0.330211,0.31775033,-0.13477013,0.032022055,0.011407371,0.020614684,0.043429427
1264.0,1969,0.0020550113745311,0.0014355117289182,0.0001327604295348,0.0007020524778909,0.2310737,0.12955904,-0.27378514,-0.13469502,-0.060293254,0.07209685,-0.028951835,0.15281737,0.13992648,0.066295,-0.03442505,0.031749584,0.15113613,0.14733577,-0.115680344,-0.11412197,-0.23406576,-0.03484911,-0.10490514,0.010697007,-0.03442505,0.15113613,-0.115680344,-0.23406576,-0.10490514,0.0015939891338348,-0.0675880312919616,0.031749584,0.14733577,-0.11412197,-0.03484911,0.010697007,0.0572146475315094,0.0081622533500194,-0.15029001,0.0051978156,0.111107215,0.09069991,0.16206446,0.21589643,0.055725418,0.13043407,-0.010902576,0.1152314,0.48068845,0.34019393,0.35825253,0.12831822,0.1071437,0.095103815,0.028396212,-0.17325652,-0.15336058,-0.032678805,-0.24105667,-0.19723308,-0.070780054,0.0010844022,-0.111059114,-0.0643942,0.05015162,-0.02159629,-0.024660902,0.085405976,-0.19333492,-0.12509364,-0.25110883,-0.1817568,0.17027661,0.16121073,-0.16867402,-0.052036047,0.0019744125,-0.033214405,0.1405777,0.19831748,0.04279791,-0.21049961,-0.039423514,-0.03212723,-0.007296283,-0.07155074
1398.0,1970,0.0021450991141997,0.0014736966213644,0.0001566739941754,0.0007072280300073,0.2958743,0.31115243,-0.24167578,-0.11040342,-0.0861551,0.18898168,0.118868575,0.23165761,0.06920846,0.010874629,-0.038615014,-0.040325806,0.16400632,0.07321213,-0.020151332,-0.028551238,-0.14083278,-0.03620397,-0.07570405,0.007879745,-0.038615014,0.16400632,-0.020151332,-0.14083278,-0.07570405,0.0312240898609161,-0.022259372472763,-0.040325806,0.07321213,-0.028551238,-0.03620397,0.007879745,0.1264525890350341,-0.0047978274524211,-0.1708462,0.019371297,0.17460264,0.070398085,0.147727,0.19709928,0.015772603,0.019404717,0.08737367,0.119669124,0.48015824,0.23524079,0.19705066,0.005647421,0.08173978,0.19328462,0.2164551,-0.013096392,-0.15223779,0.078170955,-0.22383799,-0.16221496,0.0045086853,0.06715244,-0.12820135,-0.15975448,-0.003414292,-0.022108816,-0.058823578,0.067530856,-0.18462712,-0.022219475,-0.11531088,-0.36869287,0.22834668,0.12478706,-0.12580353,-0.050806142,0.0005285695,0.1876372,0.09126735,0.2293674,0.13764566,-0.089750335,0.023673654,-0.007572077,0.03124573,0.016101576
1446.0,1971,0.0022021233385934,0.0015342329314965,0.0001877088410537,0.0006784373221405,0.20602879,0.29360917,-0.2361405,-0.12773469,-0.0304669,0.3362649,0.12939778,0.31691122,0.0061972737,0.16585451,-0.0024887687,-0.019791868,0.10725824,0.03940792,0.022362672,0.040894385,-0.08198304,-0.017245753,-0.08031726,0.058090653,-0.0024887687,0.10725824,0.022362672,-0.08198304,-0.08031726,0.0150032877922058,-0.0070336297154426,-0.019791868,0.03940792,0.040894385,-0.017245753,0.058090653,0.1969810247421264,0.0202710688114166,-0.12729387,0.09045549,0.22044355,0.054528266,0.10869539,0.23862506,0.10492374,0.095249,0.102117755,0.18189433,0.49279976,0.2456882,0.126351,-0.043555852,-0.057641096,0.1667563,0.07443713,-0.013173394,-0.12851389,0.1517562,-0.15418276,-0.107565716,0.08797052,0.1551542,-0.14957467,-0.06298894,-0.106706224,0.042976283,0.031432558,0.21049632,-0.23149574,-0.0478156,-0.18399209,-0.20295101,0.24215329,0.042868443,-0.2629283,-0.087277286,-0.01430735,0.21031216,0.1649296,0.26271993,0.10596522,-0.25831193,0.056718916,0.0096082585,0.04711066,0.06632718
1431.0,1972,0.0023599155444782,0.0015730937410296,0.0002240677464036,0.000682278723681,0.21232381,0.26753488,-0.30926728,-0.18728508,-0.12106209,0.3040657,0.08024353,0.2680422,0.014001689,0.22063418,-0.008032845,-0.11685954,0.090992585,-0.030874388,-0.01608228,-0.0034255013,-0.035939805,-0.06197183,-0.03586698,-0.021896016,-0.008032845,0.090992585,-0.01608228,-0.035939805,-0.03586698,-0.0247520700097084,-0.0009858645498752,-0.11685954,-0.030874388,-0.0034255013,-0.06197183,-0.021896016,0.1745983719825744,-0.0470054566860198,-0.11684546,0.14109966,0.18310311,0.026820082,0.17334823,0.31573927,0.035214044,-0.0047980472,0.093576446,0.24285427,0.40753004,0.20053858,0.11654137,-0.107000604,-0.04591334,0.08236669,0.048176065,-0.04976795,-0.22137533,0.11181231,-0.15942998,-0.12781318,-0.053203046,-0.018286364,-0.13069627,-0.12939876,-0.07486038,0.03514502,-0.059021443,0.012220494,-0.28162444,-0.13490842,-0.16245471,-0.2695514,0.106226936,0.055835888,-0.222603,-0.13539532,-0.03688605,0.1893673,0.16158026,0.10952681,0.16454378,-0.14712891,-0.024207683,-0.058930654,0.03472297,-0.08313834
1513.0,1973,0.002379180467098,0.0016173050488512,0.0002430775573511,0.0006645345831738,0.19431269,0.26726907,-0.28438336,-0.18090785,-0.10210635,0.19805238,0.063645385,0.25946593,0.013732046,0.18043453,0.043109618,-0.15647376,0.15041076,0.014806416,0.06738356,-0.0621557,-0.02235878,-0.1726684,0.0020235535,-0.0864068,0.043109618,0.15041076,0.06738356,-0.02235878,0.0020235535,-0.0229599177837371,0.048113739490509,-0.15647376,0.014806416,-0.0621557,-0.1726684,-0.0864068,0.1448628067970276,-0.0925796449184417,-0.10297921,0.090352595,0.25005278,0.08139838,0.14199714,0.3003596,0.15273303,-0.019872457,0.025117412,0.16579905,0.55507696,0.30573985,0.19426021,-0.085360445,-0.06221267,0.050491847,0.15089399,-0.027325088,-0.19851686,0.076175526,-0.059181258,-0.22591436,-0.14208195,-0.10591338,-0.012179092,-0.12128818,-0.09673086,0.06256723,-0.0023559853,-0.00425718,-0.2565958,-0.119636886,-0.2564729,-0.34941083,-0.08290069,-0.08455177,-0.2542398,-0.15122762,0.054287575,0.13585229,0.10350061,0.12000098,0.18385541,-0.115379706,-0.039138753,-0.052208543,0.01306979,-0.09134729
1519.0,1974,0.0024472996863421,0.0016670622594655,0.0002564915206245,0.0006621787935614,0.1950331,0.24392986,-0.3036182,-0.16878098,-0.11428245,0.22410499,0.033810508,0.223629,0.0018759966,0.1446487,0.0977682,-0.09340724,0.19712916,-0.006898232,0.042666893,-0.13276587,0.06399189,-0.09656518,0.03170721,-0.08480429,0.0977682,0.19712916,0.042666893,0.06399189,0.03170721,-0.0374362081289291,0.0866526663303375,-0.09340724,-0.006898232,-0.13276587,-0.09656518,-0.08480429,0.1335063219070434,-0.0828881680965423,-0.12062054,0.09477226,0.17555411,-0.0186509,0.15380314,0.2735891,0.15353286,0.027941003,0.06768878,0.12771177,0.5260042,0.26422083,0.32164493,0.016493417,-0.043675847,0.0505021,0.08235645,-0.113683835,-0.2087597,0.117031485,0.05137324,-0.15227908,-0.011610808,-0.076182425,0.0031167604,-0.1212401,-0.091839075,0.022412807,0.19092545,0.11700924,-0.26023078,-0.08619322,-0.36532077,-0.29111615,-0.06298405,-0.09495583,-0.45115623,-0.12322323,0.12988336,0.03400868,0.23071532,0.076096654,0.14365292,-0.20320246,-0.030198159,-0.028557317,-0.0016408414,-0.058755476
1594.0,1975,0.0024357597139247,0.001762874232073,0.0002645859130154,0.0006895054491695,0.20419037,0.22554398,-0.28554776,-0.169022,-0.10130647,0.18102181,0.07110426,0.19501896,0.1122081,0.11325416,-0.020770926,-0.14545411,-0.034934692,-0.123222575,-0.040024787,-0.08312014,-0.0903589,-0.098058194,-0.040710576,-0.10697994,-0.020770926,-0.034934692,-0.040024787,-0.0903589,-0.040710576,0.0001296997070312,-0.0453599750995636,-0.14545411,-0.123222575,-0.08312014,-0.098058194,-0.10697994,0.1091633796691894,-0.1113669872283935,-0.096467905,0.08572525,0.17579672,0.038339905,0.16989404,0.2395458,0.12355081,-0.026376799,0.03990704,0.16498065,0.4278233,0.16249283,0.092231095,-0.105933934,-0.060236916,0.02541896,0.016958073,-0.11298982,-0.22791755,0.05706364,-0.16627431,-0.15821059,-0.1062839,-0.12091526,-0.0065161064,-0.091004014,0.051188134,0.07585906,-0.051797055,0.019581333,-0.2671419,-0.15479265,-0.15246801,-0.24487562,0.059990406,0.05770424,-0.21534485,-0.12207843,-0.02307966,0.1313529,0.17005345,0.037295334,0.16686308,-0.17437398,-0.0575473,-0.07193316,0.014385857,-0.12948045
1519.0,1976,0.0024510967989824,0.0018534806541334,0.0002777476193541,0.0007171115555999,0.22297126,0.23847203,-0.2690229,-0.07692778,-0.03177552,0.16357198,0.1479407,0.20640016,0.22476377,0.14359023,-0.07072246,-0.123432234,0.009405717,0.0497292,-0.13352183,-0.1220118,-0.26443607,-0.21922699,-0.109523535,-0.10751718,-0.07072246,0.009405717,-0.13352183,-0.26443607,-0.109523535,0.0589754581451416,-0.1137596368789672,-0.123432234,0.0497292,-0.1220118,-0.21922699,-0.10751718,0.1350213170051574,-0.1044918060302734,-0.093389094,0.039492168,0.0584006,0.04244885,0.32821396,0.26445326,0.011651576,-0.05690137,0.06700003,0.14424272,0.40855896,0.3024777,-0.0021641813,-0.094305426,-0.032809477,0.07799655,-0.054232758,-0.2639528,-0.24148129,-0.010954801,-0.23612288,-0.25359282,-0.06594737,0.033717204,-0.09867088,-0.13805997,0.110965,0.09286439,-0.01116218,0.039688073,-0.21129194,-0.041295823,-0.030645296,-0.18724853,0.17017551,0.20963588,-0.20012976,-0.088113025,-0.08047058,0.17230198,0.252998,0.28731003,0.23092437,-0.08098389,-0.014858961,-0.1274093,0.11255033,-0.14226826
1583.0,1977,0.0023510515091922,0.0019301410453778,0.0003016055064912,0.0007209409114027,0.25236532,0.26157045,-0.25046897,-0.07631021,0.0066787396,0.29909015,0.13538729,0.26043263,0.18862885,0.2415335,-0.031443655,-0.09555113,0.14614353,0.12762824,0.053357497,0.048623573,-0.16775191,-0.10495959,-0.05038244,-0.02353862,-0.031443655,0.14614353,0.053357497,-0.16775191,-0.05038244,0.0665182471275329,-0.010015396028757,-0.09555113,0.12762824,0.048623573,-0.10495959,-0.02353862,0.1972633123397827,-0.0095595061779022,-0.021949539,0.13899656,0.1333212,0.06540243,0.34120303,0.3042621,0.17279558,0.1119805,0.1374959,0.2742771,0.52122974,0.32411298,0.019385196,-0.076123774,0.048854083,0.08888079,0.020053716,-0.116979964,-0.16368634,0.103721626,-0.18559845,-0.20193271,-0.055939857,0.00656398,-0.08406427,-0.10164791,0.11327466,0.14153498,0.056652233,0.2290312,-0.19430543,-0.023872443,0.029468887,-0.18374005,0.1296586,0.19733894,-0.25095767,-0.05036057,-0.034714315,0.16500457,0.22070159,0.20849669,0.2431829,-0.25290364,0.025523767,-0.04126657,0.06679034,-0.015742805
1744.0,1978,0.0022842836085276,0.0020751532791591,0.0003115183242528,0.0007427891610681,0.13274074,0.27984238,-0.24787608,-0.115974344,0.060499843,0.33205086,0.16502908,0.30957264,0.24205764,0.39417192,0.05074165,-0.017658314,0.14926162,0.0977398,0.1290453,0.117379576,-0.051192097,-0.09763271,0.08561203,0.08156132,0.05074165,0.14926162,0.1290453,-0.051192097,0.08561203,0.0704902410507202,0.0726936995983123,-0.017658314,0.0977398,0.117379576,-0.09763271,0.08156132,0.2399327039718627,0.0362779349088668,-0.0015598536,0.18103874,0.27029735,0.2092494,0.30126822,0.3928869,0.28299353,0.19347924,0.17670785,0.37989062,0.5583732,0.3757766,0.16709967,0.048398644,-0.06678016,0.066926,0.20138156,0.12649763,-0.08177204,0.19956315,-0.19834432,-0.20090866,-0.05300661,0.017498542,0.025806539,0.041174203,0.15371498,0.29725403,0.07107928,0.07040854,-0.23107964,-0.077270746,-0.23387983,-0.2831536,0.1453377,0.12790844,-0.30215892,-0.05578469,0.053404547,0.018527359,0.07306552,0.2184072,0.25607982,-0.14767928,0.070366494,0.047825318,0.022541177,0.11819181
1859.0,1979,0.0022059024586269,0.0022011871231817,0.0003303077156268,0.0007552242177634,0.16913137,0.27599248,-0.28993836,-0.1761899,0.06444253,0.3248222,0.121977106,0.2554565,0.33103752,0.43019664,0.015904807,-0.005265981,0.15704407,0.16464898,0.09268532,0.14216445,-0.09845639,-0.051779944,0.08365017,0.09160022,0.015904807,0.15704407,0.09268532,-0.09845639,0.08365017,0.0793300330638885,0.0501655936241149,-0.005265981,0.16464898,0.14216445,-0.051779944,0.09160022,0.2220555782318115,0.0682735502719879,0.0062703304,0.1064304,0.16922937,0.17144859,0.38671973,0.42262423,0.32301307,0.27058908,0.22781418,0.3547566,0.48127556,0.37586272,0.10220959,0.07641002,-0.09075394,0.042106565,0.14000468,0.048307113,-0.031105287,0.21426985,-0.10259231,-0.11622891,-0.075040706,-0.006862427,0.084579475,0.076265305,0.22203295,0.32224417,0.053682894,0.15307154,-0.23207916,-0.07922151,-0.19296354,-0.17110997,0.027551606,0.13745347,-0.28576207,-0.04138923,0.05557686,-0.034303453,0.16596273,0.109366484,0.24597886,-0.23229304,0.07690523,0.06297162,0.013933606,0.13987684
1930.0,1980,0.0021275761224127,0.0023366926564092,0.0003642678286195,0.000782439911323,0.17865734,0.30226198,-0.19850089,-0.11041407,0.046337597,0.29388046,0.123864554,0.24106419,0.32921904,0.47227058,0.09115831,0.04469466,0.2767561,0.2593003,0.11797452,0.11450799,-0.0037916452,-0.02873209,0.25157425,0.23495719,0.09115831,0.2767561,0.11797452,-0.0037916452,0.25157425,0.0959155321121215,0.1467343091964721,0.04469466,0.2593003,0.11450799,-0.02873209,0.23495719,0.2398126363754272,0.1249456048011779,0.029176481,0.16933623,0.30598825,0.2794682,0.4010214,0.49671435,0.5297736,0.41851187,0.2941469,0.43959352,0.6113064,0.47840554,0.25711548,0.16082904,-0.05903764,0.072722584,0.21281025,0.08952602,-0.062064804,0.19718853,-0.07031933,-0.11445695,-0.0841618,-0.0023257602,0.3177692,0.2634867,0.22728711,0.35071945,0.16189602,0.21383595,-0.16693099,-0.02743188,-0.3161531,-0.27487504,-0.013842471,-0.090482086,-0.32882702,-0.028981622,0.17585433,-0.08810645,0.10766251,0.11213119,0.08723274,-0.24126783,0.08813468,0.13767184,-0.04953716,0.22580653
1962.0,1981,0.00206532069959,0.0024698458070023,0.0004111986814661,0.0008067646369746,0.27812022,0.29915744,-0.23374811,-0.08703691,0.116877414,0.32487276,0.16129342,0.2582764,0.34302813,0.4535437,0.099545844,0.03435991,0.23010892,0.1920552,0.12581353,0.09588839,-0.07043207,-0.08842447,0.25584674,0.22189878,0.099545844,0.23010892,0.12581353,-0.07043207,0.25584674,0.133114218711853,0.1281765937805175,0.03435991,0.1920552,0.09588839,-0.08842447,0.22189878,0.2497626781463623,0.0911555528640747,0.023201894,0.16201767,0.2673141,0.24194744,0.459469,0.49520335,0.4951128,0.36391822,0.21440175,0.36114466,0.5513031,0.4222104,0.2984506,0.16313046,0.06502691,0.106162965,0.34755898,0.1052724,0.043607146,0.23643869,-0.07273248,-0.1244931,-0.13123652,-0.051461738,0.25251245,0.18211368,0.25578195,0.34058946,0.18222007,0.19348839,-0.18702497,-0.04336315,-0.23342368,-0.30395183,-0.058504045,0.0032694936,-0.36924505,0.009230902,0.20160194,-0.056967497,0.1311663,0.073031366,0.15847579,-0.23685154,0.105328895,0.1445118,-0.03918291,0.2498407
2128.0,1982,0.0020562225601159,0.0025901483591774,0.0004697919450588,0.0008075857695887,0.24481855,0.30082732,-0.22518465,-0.10973276,0.08126529,0.30087048,0.13717763,0.2844178,0.31729063,0.45997205,0.09068537,0.037270844,0.25021112,0.24753325,0.088092715,0.08879091,0.016551254,-0.035820976,0.32342976,0.2932077,0.09068537,0.25021112,0.088092715,0.016551254,0.32342976,0.1110734939575195,0.1537940502166748,0.037270844,0.24753325,0.08879091,-0.035820976,0.2932077,0.2472709894180297,0.1261963486671447,0.030669533,0.19958873,0.2750901,0.25982994,0.45862255,0.49856472,0.5072977,0.39822617,0.13530205,0.3402526,0.5321001,0.41142002,0.25620872,0.13645831,0.028583366,0.10435898,0.28352892,0.17380694,0.058147907,0.25778633,-0.038968105,-0.10743812,-0.07736872,0.01963593,0.307683,0.24331628,0.24543276,0.33562303,0.18723226,0.20394138,-0.18576774,-0.061548077,-0.22762536,-0.22538102,-0.038400616,-0.062250227,-0.373,0.013805514,0.19913696,-0.03209933,0.0839794,0.12707405,0.09230675,-0.26548946,0.11900068,0.15560228,-0.036601596,0.27460295
2227.0,1983,0.0020535259348304,0.0026933139546808,0.0005176986562876,0.0008103506281226,0.2639618,0.30060387,-0.1986592,-0.06425494,0.08232263,0.322969,0.16250975,0.2951902,0.32904056,0.46308032,0.17726745,0.05112148,0.31589085,0.30437443,0.14457913,0.111912735,0.09072142,-0.047383316,0.3472259,0.25774914,0.17726745,0.31589085,0.14457913,0.09072142,0.3472259,0.1278351068496704,0.2151369571685791,0.05112148,0.30437443,0.111912735,-0.047383316,0.25774914,0.263517689704895,0.1355548858642578,0.028844733,0.20537016,0.34144908,0.2716282,0.45585966,0.50290656,0.52545714,0.37850678,0.21611096,0.3877299,0.57547605,0.43212187,0.31924796,0.12934357,0.032810163,0.09803842,0.23456012,0.1094609,0.06348044,0.2656396,-0.031098515,-0.12944831,-0.09968541,0.008790784,0.3029083,0.20591798,0.28166527,0.3657522,0.2706462,0.27994835,-0.14051905,0.0059948564,-0.2864378,-0.17107968,-0.06858689,-0.021243036,-0.41116527,0.02755028,0.21925282,-0.03130515,0.15617871,0.13823909,0.1598342,-0.2739535,0.13461605,0.1382971,-0.0036810488,0.27291316
