GDP per capita,year,tight,loose,indi,coll
799.0,1950,0.0023678380115939,0.0014133978423274,0.0002111562645836,0.0009693750824908
950.0,1951,0.002377664309597,0.0013693728802991,0.0001952919523318,0.0008478401311094
1047.0,1952,0.0022666129011289,0.001429752161016,0.0001914108385487,0.0008521259222789
1157.0,1953,0.0021503207799144,0.0014707932930296,0.0002054181364863,0.0008300026062215
1049.0,1954,0.0019928445323265,0.0016114866514129,0.0002051171959495,0.0008252079824322
1119.0,1955,0.0019432719136602,0.0016583807527002,0.0002070813354099,0.0008666974782564
1189.0,1956,0.0020217791285241,0.0017135152264365,0.0001936896075628,0.0008637386862022
1195.0,1957,0.001941861727427,0.0017376546626895,0.0001754484007377,0.0008298817760256
1173.0,1958,0.0018974398410754,0.0018207776588567,0.0001821682510728,0.0009134100286749
1117.0,1959,0.0019128666210852,0.0018202764923011,0.0001830436391873,0.0009228634521361
1057.0,1960,0.0020095597553303,0.0018171309293301,0.0001775353648072,0.0009407795831829
874.0,1961,0.0020122009699922,0.001781193857463,0.0001755801529955,0.0009080513891197
926.0,1962,0.0020109888016902,0.0017754553675583,0.0001828938364205,0.0008980330450226
1034.0,1963,0.0020132025828323,0.0017218104503911,0.00017299659664,0.0008484134696971
1152.0,1964,0.0020260882906281,0.0016427392544276,0.0001763944827562,0.0008618056084474
1253.0,1965,0.0019501412093144,0.0015989135199276,0.0001581272675334,0.0008322552640355
1261.0,1966,0.0020415777445675,0.0015333564869633,0.0001427745193041,0.0008012761576432
1237.0,1967,0.0020246552698007,0.0014915747212813,0.0001186020824255,0.0007792937209834
1178.0,1968,0.0020229475968156,0.0014450038602059,0.0001195928391877,0.0007418141647568
1264.0,1969,0.0020550113745311,0.0014355117289182,0.0001327604295348,0.0007020524778909
1398.0,1970,0.0021450991141997,0.0014736966213644,0.0001566739941754,0.0007072280300073
1446.0,1971,0.0022021233385934,0.0015342329314965,0.0001877088410537,0.0006784373221405
1431.0,1972,0.0023599155444782,0.0015730937410296,0.0002240677464036,0.000682278723681
1513.0,1973,0.002379180467098,0.0016173050488512,0.0002430775573511,0.0006645345831738
1519.0,1974,0.0024472996863421,0.0016670622594655,0.0002564915206245,0.0006621787935614
1594.0,1975,0.0024357597139247,0.001762874232073,0.0002645859130154,0.0006895054491695
1519.0,1976,0.0024510967989824,0.0018534806541334,0.0002777476193541,0.0007171115555999
1583.0,1977,0.0023510515091922,0.0019301410453778,0.0003016055064912,0.0007209409114027
1744.0,1978,0.0022842836085276,0.0020751532791591,0.0003115183242528,0.0007427891610681
1859.0,1979,0.0022059024586269,0.0022011871231817,0.0003303077156268,0.0007552242177634
1930.0,1980,0.0021275761224127,0.0023366926564092,0.0003642678286195,0.000782439911323
1962.0,1981,0.00206532069959,0.0024698458070023,0.0004111986814661,0.0008067646369746
2128.0,1982,0.0020562225601159,0.0025901483591774,0.0004697919450588,0.0008075857695887
2227.0,1983,0.0020535259348304,0.0026933139546808,0.0005176986562876,0.0008103506281226
2444.0,1984,0.002084864120921,0.0027975265339099,0.0005674860140386,0.0008243806333894
2619.0,1985,0.00211035976242,0.0028638509337225,0.0006375248388954,0.0008279396267231
2748.0,1986,0.0021384130196955,0.002913854950519,0.0006995124366134,0.0008164830865098
2931.0,1987,0.0022212901069776,0.0029811147414665,0.0007510217378694,0.0008231104354438
3045.0,1988,0.0023260160987774,0.0030348882791096,0.0007999724860598,0.0008349080174119
3022.0,1989,0.0024097425723864,0.0030780986914916,0.0008554298571965,0.0008483522490061
2982.0,1990,0.0024701655720491,0.0031206021015073,0.0009395141487991,0.0008639277552577
3051.3152,1991,0.0025127813943462,0.0031360409924259,0.0010109100854427,0.0008698541262463
3227.7441,1992,0.0025503778770143,0.0031188972968956,0.0010690598311648,0.0008683044231848
3506.48,1993,0.0025686892357563,0.003111146715759,0.0011233249623724,0.0008719504803999
3730.164,1994,0.0025481468098535,0.0031185812461421,0.001204719559839,0.0008579890783023
3999.7292,1995,0.0025008994297032,0.0031309309357502,0.0012874538336445,0.0008385520361408
4219.644,1996,0.0024710689393551,0.0031168561311104,0.0013549980676056,0.0008170127884779
4310.828,1997,0.0024424527517632,0.0030946756214234,0.0014163208921737,0.0007909548349565
4309.847,1998,0.0024357179758486,0.0031341522242827,0.0015208955637535,0.0007714751830738
4466.7363,1999,0.0024189167784892,0.0031806677155254,0.0016335989008869,0.0007587979656347
4730.3545,2000,0.0024045637817055,0.0032237239359747,0.0017615226961627,0.0007501364371478
4995.1445,2001,0.0023781641158555,0.0032353907668549,0.0018542973899359,0.0007522826433858
5343.1123,2002,0.0023761799878099,0.0031911938770503,0.0019319438841348,0.0007515432575197
5649.4634,2003,0.0023954079909214,0.0031296816082083,0.0020011227145987,0.0007571383239987
6067.5913,2004,0.0023902210336278,0.003078799571188,0.0020543982089204,0.0007527262231162
6626.592,2005,0.0023503303538226,0.0030218071162094,0.0020699665701085,0.0007482893467535
7271.0356,2006,0.0023257405078506,0.0029798850163878,0.002090730564581,0.0007470979207287
7895.713,2007,0.0022803915808253,0.0028902946446921,0.0020751791462316,0.0007379027654183
8190.1123,2008,0.0022020761850529,0.002738540077776,0.002052016810962,0.0007156211435902
8734.041,2009,0.0021158146448994,0.0026156764310254,0.00200386308379,0.0006905724073728
9658.419,2010,0.0020265793535665,0.0024873143894885,0.0018580891753003,0.0006756954618002
10221.0,2011,0.0019647966100819,0.0023807383306057,0.0017760906509839,0.0006520492180024
10680.0,2012,0.0018458143328773,0.0022917474106622,0.0016551793256261,0.0006453502385487
11328.0,2013,0.0017543968095716,0.0021928000241153,0.0014517045583488,0.0006257733888535
11944.0,2014,0.0016817877871549,0.0020972740277207,0.0013329028800269,0.0006261478470881
12244.0,2015,0.0017202791646663,0.0021911086961264,0.0013974091959231,0.0006820609939787
12569.0,2016,0.0016437387533707,0.0021348636703071,0.001305936768566,0.0006806936227365
12733.932,2017,0.0015993961132304,0.002188893633764,0.0013629821647403,0.0006784729505871
13101.706,2018,0.001546606541251,0.0022167124966628,0.00133008923558,0.000702146272431
