year,old_care_vir,young_care_vir,old_fare_vir,young_fare_vir,old_loya_vir,young_loya_vir,old_auth_vir,young_auth_vir,old_sanc_vir,young_sanc_vir,old_care_vic,young_care_vic,old_fare_vic,young_fare_vic,old_loya_vic,young_loya_vic,old_auth_vic,young_auth_vic,old_sanc_vic,young_sanc_vic,old_care,old_fare,old_loya,old_auth,old_sanc,old_virtue,old_vice,young_care,young_fare,young_loya,young_auth,young_sanc,young_virtue,young_vice
1950,0.077527724,0.16700353,-0.22362202,-0.04833577,-0.06285523,0.29334843,-0.05876819,0.14500506,0.18915425,0.39627746,0.14143397,0.104127154,0.14832161,0.110790804,0.11806773,0.14647982,-0.019143194,-0.09413726,0.11721296,0.18530641,0.14143397,0.14832161,0.11806773,-0.019143194,0.11721296,-0.015712693333625793,0.10117862224578858,0.104127154,0.110790804,0.14647982,-0.09413726,0.18530641,0.1906597375869751,0.09051338434219361
1951,0.065940686,0.23318946,-0.25172114,-0.040441126,-0.0398969,0.27583286,-0.0794804,0.18116847,0.20269114,0.40426525,0.16796641,0.22238964,0.20031643,0.22141378,0.19221865,0.20190367,-0.012788899,0.015041932,0.12967141,0.21195713,0.16796641,0.20031643,0.19221865,-0.012788899,0.12967141,-0.02049332857131958,0.13547680377960206,0.22238964,0.22141378,0.20190367,0.015041932,0.21195713,0.2108029842376709,0.17454123497009277
1952,0.14569488,0.2461186,-0.19290176,-0.08657676,0.00051862746,0.32629055,-0.04230149,0.16148564,0.13266549,0.36573106,0.051398616,0.0047550574,0.13358898,0.09837881,0.09053158,0.1478325,-0.078156605,-0.103319176,0.05994731,0.1303204,0.051398616,0.13358898,0.09053158,-0.078156605,0.05994731,0.00873514860868454,0.0514619767665863,0.0047550574,0.09837881,0.1478325,-0.103319176,0.1303204,0.20260982513427733,0.055593520402908325
1953,0.06370863,0.23641166,-0.23077223,-0.046209484,-0.016060585,0.29260695,-0.06925612,0.11649241,0.20329392,0.40665329,0.11551437,0.036319844,0.3322466,0.18115905,0.114583805,0.13798064,-0.014784556,-0.0933334,0.020158183,0.05235961,0.11551437,0.3322466,0.114583805,-0.014784556,0.020158183,-0.009817278385162354,0.11354367733001709,0.036319844,0.18115905,0.13798064,-0.0933334,0.05235961,0.20119094848632812,0.06289715170860291
1954,0.059472628,0.24075171,-0.24628225,-0.118399255,-0.09938192,0.26552105,-0.07705076,0.14502755,0.11889109,0.35303292,0.093893215,0.04026095,0.22176224,0.131859,0.09697619,0.0904551,-0.028078247,-0.11746025,0.113127366,0.11261444,0.093893215,0.22176224,0.09697619,-0.028078247,0.113127366,-0.048870247602462766,0.09953615665435792,0.04026095,0.131859,0.0904551,-0.11746025,0.11261444,0.17718679904937745,0.05154584646224976
1955,0.04753791,0.22299376,-0.24136358,-0.1728552,-0.04989018,0.30355307,-0.05513478,0.14677149,0.16417542,0.42182562,0.14504983,0.033456713,0.11176729,-0.018312283,0.13991281,0.13441804,0.0036015287,-0.07709399,0.17480503,0.14468157,0.14504983,0.11176729,0.13991281,0.0036015287,0.17480503,-0.026935040950775146,0.11502729654312134,0.033456713,-0.018312283,0.13441804,-0.07709399,0.14468157,0.18445775508880616,0.04343001246452331
1956,0.076694295,0.2048883,-0.26227403,-0.15865982,-0.03993193,0.24722147,0.037292447,0.16676813,0.21711338,0.3894564,0.017700162,-0.06305444,0.15612519,0.08432619,0.10995332,0.082806304,-0.06305672,-0.10516009,0.1646827,0.087998234,0.017700162,0.15612519,0.10995332,-0.06305672,0.1646827,0.0057788312435150145,0.07708092927932739,-0.06305444,0.08432619,0.082806304,-0.10516009,0.087998234,0.16993489265441894,0.017383240163326263
1957,0.053825457,0.20481157,-0.27179024,-0.11423626,-0.100312494,0.18098979,-0.030176222,0.15129817,0.20944315,0.35488066,0.004233744,0.027627861,0.12382812,0.120930076,0.069638565,0.06970459,-0.095378146,-0.10176741,0.14383489,0.1624045,0.004233744,0.12382812,0.069638565,-0.095378146,0.14383489,-0.02780206799507141,0.049231433868408205,0.027627861,0.120930076,0.06970459,-0.10176741,0.1624045,0.1555487871170044,0.05577992200851441
1958,0.19045106,0.21092755,-0.23984896,-0.17914993,-0.056644693,0.14668345,0.041326713,0.15462893,0.16967815,0.30287474,0.035735577,-0.015150892,0.074593276,-0.0018412806,0.0153132565,-0.021083783,-0.04871639,-0.11132652,0.037672132,0.027086262,0.035735577,0.074593276,0.0153132565,-0.04871639,0.037672132,0.020992454886436463,0.022919569909572602,-0.015150892,-0.0018412806,-0.021083783,-0.11132652,0.027086262,0.12719295024871827,-0.024463242292404173
1959,0.18639678,0.2523455,-0.2615402,-0.15424706,-0.035528533,0.18931636,0.035868157,0.1493432,0.15726277,0.3602156,0.108099386,0.045261636,0.05044573,0.002098538,0.054029744,0.06988973,-0.021115877,-0.07809989,0.16353878,0.12249756,0.108099386,0.05044573,0.054029744,-0.021115877,0.16353878,0.016491794586181642,0.07099955677986144,0.045261636,0.002098538,0.06988973,-0.07809989,0.12249756,0.1593947172164917,0.03232951462268829
1960,0.16634661,0.19238475,-0.26528442,-0.20931575,-0.049781684,0.17822555,0.00692649,0.11762132,0.08429267,0.3058324,-0.0034897756,-0.06632731,0.12935312,0.01921931,-0.0160907,-0.008812085,-0.10582809,-0.14373711,0.036701504,0.009349544,-0.0034897756,0.12935312,-0.0160907,-0.10582809,0.036701504,-0.01150006502866745,0.008129211515188218,-0.06632731,0.01921931,-0.008812085,-0.14373711,0.009349544,0.11694965362548829,-0.03806153237819672
1961,0.14268991,0.25556678,-0.26965627,-0.18467529,-0.08141035,0.20718046,0.026643807,0.16324794,0.16162527,0.33251858,-0.0050566867,-0.012045277,0.1565627,0.037287872,-0.06489102,-0.011018967,-0.153593,-0.11010903,-0.024773814,0.01984743,-0.0050566867,0.1565627,-0.06489102,-0.153593,-0.024773814,-0.0040215253829956055,-0.0183503657579422,-0.012045277,0.037287872,-0.011018967,-0.11010903,0.01984743,0.1547676920890808,-0.015207594633102417
1962,0.13359201,0.25454643,-0.22220038,-0.14513876,-0.0637072,0.24279056,0.08935145,0.20358555,0.15725023,0.3291152,0.0002508089,-0.015665848,0.22046222,0.12127042,0.02741864,0.123537794,-0.18392134,-0.14803696,0.037396725,0.083494425,0.0002508089,0.22046222,0.02741864,-0.18392134,0.037396725,0.01885722130537033,0.02032141089439392,-0.015665848,0.12127042,0.123537794,-0.14803696,0.083494425,0.17697980403900146,0.03291996717453003
1963,0.15475489,0.24274829,-0.26185524,-0.14515403,-0.087154135,0.15785941,0.046538785,0.22866544,0.16111153,0.34586644,0.004674796,-0.09470584,0.04785397,-0.078835,0.010413241,-0.018752437,-0.1647606,-0.25975683,0.0013011806,-0.030412838,0.004674796,0.04785397,0.010413241,-0.1647606,0.0013011806,0.0026791661977767943,-0.020103484392166138,-0.09470584,-0.078835,-0.018752437,-0.25975683,-0.030412838,0.16599711179733276,-0.09649258852005005
1964,0.17380296,0.28982717,-0.33732423,-0.19644856,-0.14236674,0.15141323,-0.038614154,0.18129492,0.12373693,0.25543642,-0.056035943,-0.10063529,0.0029154941,-0.08754136,-0.027692102,-0.011703213,-0.21860027,-0.20903108,-0.04772862,-0.07544084,-0.056035943,0.0029154941,-0.027692102,-0.21860027,-0.04772862,-0.044153043627738954,-0.06942828893661498,-0.10063529,-0.08754136,-0.011703213,-0.20903108,-0.07544084,0.1363046407699585,-0.09687035083770752
1965,0.15500715,0.22211558,-0.28623295,-0.19670776,-0.07199943,0.21096213,0.015899386,0.13967168,0.10211279,0.21640754,-0.07938886,-0.15341572,0.04826228,-0.026024338,-0.12661038,-0.08146024,-0.26615685,-0.24528314,-0.14728782,-0.1347468,-0.07938886,0.04826228,-0.12661038,-0.26615685,-0.14728782,-0.017042608559131624,-0.11423633098602295,-0.15341572,-0.026024338,-0.08146024,-0.24528314,-0.1347468,0.11848983764648438,-0.12818604707717896
1966,0.26221853,0.14078847,-0.29079652,-0.23606423,-0.120603144,0.092407435,0.081787944,0.17392997,0.05904764,0.108278364,-0.08123301,-0.107859686,0.101000726,0.031854387,-0.1502969,-0.054392427,-0.21747547,-0.16608128,-0.15882966,-0.10714899,-0.08123301,0.101000726,-0.1502969,-0.21747547,-0.15882966,-0.0016691088676452637,-0.10136685371398926,-0.107859686,0.031854387,-0.054392427,-0.16608128,-0.10714899,0.055868005752563475,-0.08072559833526612
1967,0.2488509,0.16261107,-0.17917788,-0.008894192,-0.013229325,0.23962475,0.043503467,0.056885403,0.22252434,0.17844617,-0.11590498,0.007377699,-0.013170796,0.021446664,-0.19469944,-0.010740913,-0.2429386,-0.05420418,-0.18760101,-0.061806925,-0.11590498,-0.013170796,-0.19469944,-0.2429386,-0.18760101,0.06449429988861084,-0.15086296796798707,0.007377699,0.021446664,-0.010740913,-0.05420418,-0.061806925,0.12573463916778566,-0.01958553194999695
1968,0.23274155,0.105402164,-0.2682972,0.025216157,-0.018700292,0.16873622,0.036284663,0.1562016,0.14232436,0.07978523,-0.10406971,0.09847386,0.077648364,0.20622005,-0.11636528,0.002314888,-0.28324285,-0.06398274,-0.21304971,-0.029361486,-0.10406971,0.077648364,-0.11636528,-0.28324285,-0.21304971,0.02487061619758606,-0.127815842628479,0.09847386,0.20622005,0.002314888,-0.06398274,-0.029361486,0.10706827640533448,0.04273291528224945
1969,0.2310737,0.12955904,-0.27378514,-0.13469502,-0.060293254,0.07209685,-0.028951835,0.15281737,0.13992648,0.066295,-0.03442505,0.031749584,0.15113613,0.14733577,-0.115680344,-0.11412197,-0.23406576,-0.03484911,-0.10490514,0.010697007,-0.03442505,0.15113613,-0.115680344,-0.23406576,-0.10490514,0.001593989133834839,-0.06758803129196167,0.031749584,0.14733577,-0.11412197,-0.03484911,0.010697007,0.0572146475315094,0.008162253350019456
1970,0.2958743,0.31115243,-0.24167578,-0.11040342,-0.0861551,0.18898168,0.118868575,0.23165761,0.06920846,0.010874629,-0.038615014,-0.040325806,0.16400632,0.07321213,-0.020151332,-0.028551238,-0.14083278,-0.03620397,-0.07570405,0.007879745,-0.038615014,0.16400632,-0.020151332,-0.14083278,-0.07570405,0.031224089860916137,-0.02225937247276306,-0.040325806,0.07321213,-0.028551238,-0.03620397,0.007879745,0.12645258903503417,-0.004797827452421188
1971,0.20602879,0.29360917,-0.2361405,-0.12773469,-0.0304669,0.3362649,0.12939778,0.31691122,0.0061972737,0.16585451,-0.0024887687,-0.019791868,0.10725824,0.03940792,0.022362672,0.040894385,-0.08198304,-0.017245753,-0.08031726,0.058090653,-0.0024887687,0.10725824,0.022362672,-0.08198304,-0.08031726,0.01500328779220581,-0.007033629715442658,-0.019791868,0.03940792,0.040894385,-0.017245753,0.058090653,0.19698102474212648,0.020271068811416625
1972,0.21232381,0.26753488,-0.30926728,-0.18728508,-0.12106209,0.3040657,0.08024353,0.2680422,0.014001689,0.22063418,-0.008032845,-0.11685954,0.090992585,-0.030874388,-0.01608228,-0.0034255013,-0.035939805,-0.06197183,-0.03586698,-0.021896016,-0.008032845,0.090992585,-0.01608228,-0.035939805,-0.03586698,-0.024752070009708405,-0.0009858645498752594,-0.11685954,-0.030874388,-0.0034255013,-0.06197183,-0.021896016,0.17459837198257447,-0.047005456686019895
1973,0.19431269,0.26726907,-0.28438336,-0.18090785,-0.10210635,0.19805238,0.063645385,0.25946593,0.013732046,0.18043453,0.043109618,-0.15647376,0.15041076,0.014806416,0.06738356,-0.0621557,-0.02235878,-0.1726684,0.0020235535,-0.0864068,0.043109618,0.15041076,0.06738356,-0.02235878,0.0020235535,-0.022959917783737183,0.04811373949050903,-0.15647376,0.014806416,-0.0621557,-0.1726684,-0.0864068,0.1448628067970276,-0.09257964491844177
1974,0.1950331,0.24392986,-0.3036182,-0.16878098,-0.11428245,0.22410499,0.033810508,0.223629,0.0018759966,0.1446487,0.0977682,-0.09340724,0.19712916,-0.006898232,0.042666893,-0.13276587,0.06399189,-0.09656518,0.03170721,-0.08480429,0.0977682,0.19712916,0.042666893,0.06399189,0.03170721,-0.03743620812892914,0.08665266633033752,-0.09340724,-0.006898232,-0.13276587,-0.09656518,-0.08480429,0.13350632190704345,-0.08288816809654236
1975,0.20419037,0.22554398,-0.28554776,-0.169022,-0.10130647,0.18102181,0.07110426,0.19501896,0.1122081,0.11325416,-0.020770926,-0.14545411,-0.034934692,-0.123222575,-0.040024787,-0.08312014,-0.0903589,-0.098058194,-0.040710576,-0.10697994,-0.020770926,-0.034934692,-0.040024787,-0.0903589,-0.040710576,0.00012969970703125,-0.0453599750995636,-0.14545411,-0.123222575,-0.08312014,-0.098058194,-0.10697994,0.10916337966918946,-0.11136698722839355
1976,0.22297126,0.23847203,-0.2690229,-0.07692778,-0.03177552,0.16357198,0.1479407,0.20640016,0.22476377,0.14359023,-0.07072246,-0.123432234,0.009405717,0.0497292,-0.13352183,-0.1220118,-0.26443607,-0.21922699,-0.109523535,-0.10751718,-0.07072246,0.009405717,-0.13352183,-0.26443607,-0.109523535,0.0589754581451416,-0.11375963687896729,-0.123432234,0.0497292,-0.1220118,-0.21922699,-0.10751718,0.13502131700515746,-0.10449180603027344
1977,0.25236532,0.26157045,-0.25046897,-0.07631021,0.0066787396,0.29909015,0.13538729,0.26043263,0.18862885,0.2415335,-0.031443655,-0.09555113,0.14614353,0.12762824,0.053357497,0.048623573,-0.16775191,-0.10495959,-0.05038244,-0.02353862,-0.031443655,0.14614353,0.053357497,-0.16775191,-0.05038244,0.06651824712753296,-0.010015396028757095,-0.09555113,0.12762824,0.048623573,-0.10495959,-0.02353862,0.19726331233978273,-0.009559506177902221
1978,0.13274074,0.27984238,-0.24787608,-0.115974344,0.060499843,0.33205086,0.16502908,0.30957264,0.24205764,0.39417192,0.05074165,-0.017658314,0.14926162,0.0977398,0.1290453,0.117379576,-0.051192097,-0.09763271,0.08561203,0.08156132,0.05074165,0.14926162,0.1290453,-0.051192097,0.08561203,0.07049024105072021,0.07269369959831237,-0.017658314,0.0977398,0.117379576,-0.09763271,0.08156132,0.23993270397186278,0.03627793490886688
1979,0.16913137,0.27599248,-0.28993836,-0.1761899,0.06444253,0.3248222,0.121977106,0.2554565,0.33103752,0.43019664,0.015904807,-0.005265981,0.15704407,0.16464898,0.09268532,0.14216445,-0.09845639,-0.051779944,0.08365017,0.09160022,0.015904807,0.15704407,0.09268532,-0.09845639,0.08365017,0.07933003306388856,0.05016559362411499,-0.005265981,0.16464898,0.14216445,-0.051779944,0.09160022,0.22205557823181152,0.06827355027198792
1980,0.17865734,0.30226198,-0.19850089,-0.11041407,0.046337597,0.29388046,0.123864554,0.24106419,0.32921904,0.47227058,0.09115831,0.04469466,0.2767561,0.2593003,0.11797452,0.11450799,-0.0037916452,-0.02873209,0.25157425,0.23495719,0.09115831,0.2767561,0.11797452,-0.0037916452,0.25157425,0.09591553211212159,0.14673430919647218,0.04469466,0.2593003,0.11450799,-0.02873209,0.23495719,0.23981263637542724,0.12494560480117797
1981,0.27812022,0.29915744,-0.23374811,-0.08703691,0.116877414,0.32487276,0.16129342,0.2582764,0.34302813,0.4535437,0.099545844,0.03435991,0.23010892,0.1920552,0.12581353,0.09588839,-0.07043207,-0.08842447,0.25584674,0.22189878,0.099545844,0.23010892,0.12581353,-0.07043207,0.25584674,0.13311421871185303,0.12817659378051757,0.03435991,0.1920552,0.09588839,-0.08842447,0.22189878,0.2497626781463623,0.0911555528640747
1982,0.24481855,0.30082732,-0.22518465,-0.10973276,0.08126529,0.30087048,0.13717763,0.2844178,0.31729063,0.45997205,0.09068537,0.037270844,0.25021112,0.24753325,0.088092715,0.08879091,0.016551254,-0.035820976,0.32342976,0.2932077,0.09068537,0.25021112,0.088092715,0.016551254,0.32342976,0.11107349395751953,0.1537940502166748,0.037270844,0.24753325,0.08879091,-0.035820976,0.2932077,0.24727098941802977,0.12619634866714477
1983,0.2639618,0.30060387,-0.1986592,-0.06425494,0.08232263,0.322969,0.16250975,0.2951902,0.32904056,0.46308032,0.17726745,0.05112148,0.31589085,0.30437443,0.14457913,0.111912735,0.09072142,-0.047383316,0.3472259,0.25774914,0.17726745,0.31589085,0.14457913,0.09072142,0.3472259,0.12783510684967042,0.2151369571685791,0.05112148,0.30437443,0.111912735,-0.047383316,0.25774914,0.26351768970489503,0.13555488586425782
